name,cloneOf,description
005,,005
100lions,1004,"100 Lions (10219211, NSW/ACT)"
10yard,,"10-Yard Fight (World, set 1)"
10yard85,3,"10-Yard Fight '85 (US, Taito license)"
10yardj,3,10-Yard Fight (Japan)
11beat,676,Eleven Beat
1292apvs,,1292 Advanced Programmable Video System
1392apvs,7,1392 Advanced Programmable Video System
18w,,18 Wheeler (set 1)
18w2,9,18 Wheeler (set 2)
18wheelr,19695,18 Wheeler (deluxe) (Rev A)
18wheels,0,18 Wheeler (standard)
18wheelu,0,18 Wheeler (upright)
1941,,1941: Counter Attack (World 900227)
1941j,14,1941: Counter Attack (Japan)
1941r1,14,1941: Counter Attack (World)
1941u,14,1941: Counter Attack (USA 900227)
1942,,1942 (Revision B)
1942a,18,1942 (Revision A)
1942abl,18,"1942 (Revision A, bootleg)"
1942b,18,1942 (First Version)
1942h,18,Supercharger 1942
1942p,18,"1942 (Tecfri PCB, bootleg?)"
1942w,18,1942 (Williams Electronics license)
1943,,1943: The Battle of Midway (Euro)
1943b,25,"1943: Battle of Midway (bootleg, hack of Japan set)"
1943bj,25,1943: Midway Kaisen (bootleg)
1943j,25,"1943: Midway Kaisen (Japan, Rev B)"
1943ja,25,1943: Midway Kaisen (Japan)
1943kai,,1943 Kai: Midway Kaisen (Japan)
1943u,25,"1943: The Battle of Midway (US, Rev C)"
1943ua,25,1943: The Battle of Midway (US)
1944,,1944: The Loop Master (USA 000620)
1944d,33,1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)
1944j,33,1944: The Loop Master (Japan 000620)
1945kiii,,"1945k III (newer, OPCX2 PCB)"
1945kiiio,36,"1945k III (older, OPCX1 PCB)"
19in1,76,19 in 1 MAME bootleg
19xx,,19XX: The War Against Destiny (USA 951207)
19xxa,39,19XX: The War Against Destiny (Asia 960104)
19xxar1,39,19XX: The War Against Destiny (Asia 951207)
19xxb,39,19XX: The War Against Destiny (Brazil 951218)
19xxd,39,19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg)
19xxh,39,19XX: The War Against Destiny (Hispanic 951218)
19xxj,39,"19XX: The War Against Destiny (Japan 960104, yellow case)"
19xxjr1,39,19XX: The War Against Destiny (Japan 951225)
19xxjr2,39,19XX: The War Against Destiny (Japan 951207)
1on1gov,31791,1 on 1 Government (Japan)
2020bb,19805,2020 Super Baseball (set 1)
2020bba,0,2020 Super Baseball (set 2)
2020bbh,0,2020 Super Baseball (set 3)
20pacgal,,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08)
20pacgalr0,52,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.00)
20pacgalr1,52,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.01)
20pacgalr2,52,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.02)
20pacgalr3,52,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.03)
20pacgalr4,52,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.04)
24_130,61,24 v1.30
24_140,61,24 v1.40
24_144,61,24 v1.44
24_150,,24 v1.50
24cdjuke,,Midcoin Juke Box 24CD
25pacman,,Pac-Man - 25th Anniversary Edition (Rev 3.00)
25pacmano,63,Pac-Man - 25th Anniversary Edition (Rev 2.00)
280zzzap,,280-ZZZAP
2mindril,,Two Minute Drill
2spicy,10738,2 Spicy
30test,,30 Test (Remake)
32x,,"Genesis with 32X (USA, NTSC)"
32x_mcd,72,"Mega-CD with 32X (Europe, PAL)"
32x_mcdj,72,"Mega-CD with 32X (Japan, NTSC)"
32x_scd,,"Sega CD with 32X (USA, NTSC)"
32xe,69,"Mega Drive with 32X (Europe, PAL)"
32xj,69,"Mega Drive with 32X (Japan, NTSC)"
386i,19877,386i
39in1,,39 in 1 MAME bootleg
3b1,,3B1
3bagflnz,79,"3 Bags Full (3VXFC5345, New Zealand)"
3bagflvt,,"3 Bags Full (5VXFC790, Victoria)"
3countb,19805,3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043)
3do,,3DO (NTSC)
3do_m2,,3DO M2
3do_pal,81,3DO (PAL)
3dobios,,3DO Bios
3in1semi,,New HyperMan (3-in-1 with Cookie &amp; Bibi &amp; HyperMan)
3kokushi,,Sankokushi (Japan)
3lilpigs,,3 Lil' Pigs
3on3dunk,,"3 On 3 Dunk Madness (US, prototype? 1997/02/04)"
3stooges,,The Three Stooges In Brides Is Brides (set 1)
3stoogesa,89,The Three Stooges In Brides Is Brides (set 2)
3super8,,3 Super 8 (Italy)
3wishrd,,Three Wishes Red (Russia) (Atronic)
3wonders,,Three Wonders (World 910520)
3wondersb,93,Three Wonders (bootleg)
3wondersh,93,Three Wonders (hack)
3wondersr1,93,Three Wonders (World 910513)
3wondersu,93,Three Wonders (USA 910520)
3x3puzzl,,3X3 Puzzle (Enterprise)
3x3puzzla,98,3X3 Puzzle (Normal)
4004clk,,4004 Nixie Clock
40love,,Forty-Love
47pie2,,Idol Janshi Su-Chi-Pie 2 (v1.1)
47pie2o,102,Idol Janshi Su-Chi-Pie 2 (v1.0)
48in1,76,"48 in 1 MAME bootleg (set 1, ver 3.09)"
48in1a,76,"48 in 1 MAME bootleg (set 3, ver 3.02)"
48in1b,76,"48 in 1 MAME bootleg (set 2, ver 3.09, alt flash)"
4dwarrio,,4-D Warriors (315-5162)
4enlinea,,Cuatro en Linea
4enraya,,4 En Raya (set 1)
4enrayaa,109,4 En Raya (set 2)
4in1,,4 Fun in 1
4in1a,76,"4 in 1 MAME bootleg (set 1, ver 3.00)"
4in1b,76,4 in 1 MAME bootleg (set 2)
4in1boot,,"Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.)"
4psimasy,,Mahjong 4P Simasyo (Japan)
4roses,,"Four Roses (encrypted, set 1)"
4rosesa,116,"Four Roses (encrypted, set 2)"
500gp,,500 GP (5GP3 Ver. C)
50lionr,1004,"50 Lions - Roaring Riches (20301311, NSW/ACT)"
50lions,1004,"50 Lions (10120511, NSW/ACT)"
50lionsa,0,"50 Lions (10156111, Malaysia)"
5acespkr,,5-Aces Poker
5clown,,"Five Clown (English, set 1)"
5clowna,123,"Five Clown (English, set 2)"
5clownsp,123,Five Clown (Spanish hack)
5draga,1004,"5 Dragons (20161011, NSW/ACT)"
5dragons,1004,"5 Dragons (20161011, NSW/ACT, Show Program)"
5koipp,1004,"5 Koi - Power Pay (10250711, NSW/ACT)"
600,32001,600
60in1,76,60 in 1 MAME bootleg (ver 3.00)
64street,,64th. Street - A Detective Story (World)
64streetj,131,"64th. Street - A Detective Story (Japan, set 1)"
64streetja,131,"64th. Street - A Detective Story (Japan, set 2)"
68ksbc,,68k Single Board Computer
720,,720 Degrees (rev 4)
720g,135,"720 Degrees (German, rev 2)"
720gr1,135,"720 Degrees (German, rev 1)"
720r1,135,720 Degrees (rev 1)
720r2,135,720 Degrees (rev 2)
720r3,135,720 Degrees (rev 3)
7jigen,,7jigen no Youseitachi - Mahjong 7 Dimensions (Japan)
7mezzo,,7 e Mezzo
7ordi,,7 Ordi (Korea)
7smash,,7 Smash
7toitsu,18874,Chi-Toitsu
800fath,18552,800 Fathoms
86lions,,86 Lions
88games,,'88 Games
8ball,,Video Eight Ball
8ball1,149,Video Eight Ball (Rev.1)
8ballact,,Eight Ball Action (DK conversion)
8ballact2,151,Eight Ball Action (DKJr conversion)
8bpm,151,Eight Ball Action (Pac-Man conversion)
98best44,,Neo Print - '98 NeoPri Best 44 (Japan) (T4i 3.07)
990189,,TM 990/189 University Board microcomputer
990189v,155,TM 990/189 University Board microcomputer with Video Board Interface
99bottles,6682,99 Bottles of Beer
99lstwar,22561,'99: The Last War (set 1)
99lstwara,22561,'99: The Last War (set 2)
99lstwark,22561,'99: The Last War (Kyugo)
9ballsht,,9-Ball Shootout (set 1)
9ballsht2,161,9-Ball Shootout (set 2)
9ballsht3,161,9-Ball Shootout (set 3)
9ballshtc,161,9-Ball Shootout Championship
a1000,,Amiga 1000 (PAL)
a1000n,165,Amiga 1000 (NTSC)
a1200,,Amiga 1200 (PAL)
a1200n,167,Amiga 1200 (NTSC)
a1200xl,210,Atari 1200XL
a130xe,213,Atari 130XE
a2000,,Amiga 2000 (PAL)
a2000n,171,Amiga 2000 (NTSC)
a2600,,Atari 2600 (NTSC)
a2600p,173,Atari 2600 (PAL)
a3000,,Amiga 3000 (PAL)
a3000n,175,Amiga 3000 (NTSC)
a3010,179,Archimedes 3010
a3020,179,Archimedes 3020
a310,,Archimedes 310
a400,,Atari 400 (NTSC)
a4000,,Amiga 4000/040 (PAL)
a400030,181,Amiga 4000/030 (PAL)
a400030n,181,Amiga 4000/030 (NTSC)
a4000n,181,Amiga 4000/040 (NTSC)
a4000t,,Amiga 4000T (PAL)
a4000tn,185,Amiga 4000T (NTSC)
a400pal,180,Atari 400 (PAL)
a500,,Amiga 500 (PAL)
a500n,188,Amiga 500 (NTSC)
a500p,,Amiga 500 Plus (PAL)
a500pn,190,Amiga 500 Plus (NTSC)
a5105,,BIC A5105
a5120,,A5120
a5130,193,A5130
a51mxr3k,989,Area 51 / Maximum Force Duo (R3000)
a51site4,,"Area 51: Site 4 (HD Rev 2.01, September 7, 1998)"
a51site4a,196,"Area 51: Site 4 (HD Rev 2.0, September 11, 1998)"
a5200,,Atari 5200
a600,,Amiga 600 (PAL)
a600n,199,Amiga 600 (NTSC)
a600xl,213,Atari 600XL
a65xe,213,Atari 65XE
a65xea,213,Atari 65XE (Arabic)
a6809,,System 3 (6809 CPU)
a7000,22875,Archimedes A7000
a7000p,22875,Archimedes A7000+
a7150,,A7150
a7800,,Atari 7800 (NTSC)
a7800p,208,Atari 7800 (PAL)
a800,,Atari 800 (NTSC)
a800pal,210,Atari 800 (PAL)
a800xe,213,Atari 800XE
a800xl,,Atari 800XL (NTSC)
a800xlp,213,Atari 800XL (PAL)
aadvent,,African Adventure (Konami Endeavour)
aafb,,All American Football (rev E)
aafbb,216,All American Football (rev B)
aafbc,216,All American Football (rev C)
aafbd2p,216,"All American Football (rev D, 2 Players)"
aar_101,,Aaron Spelling (1.01)
aavenger,,Airborne Avenger
abacus,,Abacus (Ver 1.0)
abaseb,,Atari Baseball (set 1)
abaseb2,223,Atari Baseball (set 2)
abattle,1279,Astro Battle (set 1)
abattle2,1279,Astro Battle (set 2)
abc110,1611,ABC 110
abc1600,,ABC 1600
abc310,1611,ABC 310
abc80,,ABC 80
abc800c,,ABC 800 C/HR
abc800m,231,ABC 800 M/HR
abc802,,ABC 802
abc806,,ABC 806
abclimax,10738,After Burner Climax (Export)
abcop,,A.B. Cop (World) (FD1094 317-0169b)
abcopd,236,A.B. Cop (World) (bootleg of FD1094 317-0169b set)
abcopj,236,A.B. Cop (Japan) (FD1094 317-0169b)
abcopjd,236,A.B. Cop (Japan) (bootleg of FD1094 317-0169b set)
abigchs,,Big Cheese (Russia) (Atronic)
abnudge,,Animal Bonus Nudge (Version 2.1 Dual)
abnudgeb,241,"Animal Bonus Nudge (Version 2.0, set 1)"
abnudged,241,"Animal Bonus Nudge (Version 2.0, set 2)"
abnudgeo,241,Animal Bonus Nudge (Version 1.7)
abscam,21998,Abscam
abunai,,Abunai Houkago - Mou Matenai (Japan 890325)
aburner,248,After Burner
aburner2,,After Burner II
aburner2g,248,After Burner II (German)
abv106,,Airborne
abv106r,250,Airborne (Redemption)
ac1,,Amateurcomputer AC1 Berlin
ac1_32,252,Amateurcomputer AC1 Berlin (32 lines)
ac1bbclb,,Big Break Club (Ace) (ACESYS1) (set 1)
ac1bbclba,254,Big Break Club (Ace) (ACESYS1) (set 2)
ac1bluec,,Blue Chip (Pcp) (ACESYS1) (set 1)
ac1blueca,256,Blue Chip (Pcp) (ACESYS1) (set 2)
ac1bluecb,256,Blue Chip (Pcp) (ACESYS1) (set 3)
ac1bluecc,256,Blue Chip (Pcp) (ACESYS1) (set 4)
ac1bluecd,256,Blue Chip (Pcp) (ACESYS1) (set 5)
ac1clbmn,,Club Money (Ace) (ACESYS1) (set 1)
ac1clbsv,,Club Sovereign (Ace) (ACESYS1)
ac1clbxt,,Club Xtra (Ace) (ACESYS1) (set 1)
ac1clbxta,263,Club Xtra (Ace) (ACESYS1) (set 2)
ac1cshtw,,Cash Towers (Ace) (ACESYS1)
ac1dbldx,,Double Deluxe (Pcp) (ACESYS1)
ac1gogld,,Go For Gold (Ace) (ACESYS1) (set 1)
ac1hideh,,Hi De Hi Deluxe (Ace) (ACESYS1) (set 1)
ac1hideha,29826,Hi De Hi Deluxe (Ace) (ACESYS1) (set 2)
ac1hotpf,,Hot Profit (Ace) (ACESYS1)
ac1nudbk,,Nudge Break (Pcp) (ACESYS1) (set 1)
ac1nudbka,271,Nudge Break (Pcp) (ACESYS1) (set 2)
ac1nudbkb,271,Nudge Break (Pcp) (ACESYS1) (set 3)
ac1nudbkc,271,Nudge Break (Pcp) (ACESYS1) (set 4)
ac1nudbkd,271,Nudge Break (Pcp) (ACESYS1) (set 5)
ac1piaca,,Play It Again Casino (Ace) (ACESYS1)
ac1piacl,,Play It Again Club (Ace) (ACESYS1) (set 1)
ac1piacla,277,Play It Again Club (Ace) (ACESYS1) (set 2)
ac1piaclb,277,Play It Again Club (Ace) (ACESYS1) (set 3)
ac1piaclc,277,Play It Again Club (Ace) (ACESYS1) (set 4)
ac1primt,,Primetime (Ace) (ACESYS1) (set 1)
ac1prmcl,,Premier Club (Ace) (ACESYS1) (set 1)
ac1prmcla,282,Premier Club (Ace) (ACESYS1) (set 2)
ac1prmclb,282,Premier Club (Ace) (ACESYS1) (set 3)
ac1prmclc,282,Premier Club (Ace) (ACESYS1) (set 4)
ac1pster,,Pound Sterling (Ace) (ACESYS1)
ac1pstrt,,Pound Stretcher (Pcp) (ACESYS1)
ac1roll,,Roll Up (Pcp) (ACESYS1) (set 1)
ac1rolla,288,Roll Up (Pcp) (ACESYS1) (set 2)
ac1rollb,288,Roll Up (Pcp) (ACESYS1) (set 3)
ac1rundx,,Runner Deluxe Club (Ace) (ACESYS1) (set 1)
ac1rundxa,291,Runner Deluxe Club (Ace) (ACESYS1) (set 2)
ac1scch,252,Amateurcomputer AC1 SCCH
ac1shid,,Super Hi De Hi (Ace) (ACESYS1) (set 1)
ac1shida,294,Super Hi De Hi (Ace) (ACESYS1) (set 2)
ac1sstrk,,Starstruck (Pcp) (ACESYS1) (set 1)
ac1sstrka,296,Starstruck (Pcp) (ACESYS1) (set 2)
ac1sstrkb,296,Starstruck (Pcp) (ACESYS1) (set 3)
ac1taklv,,Take It Or Leave It (Ace) (ACESYS1) (set 1)
ac1totb,,Top Of The Bill (Ace) (ACESYS1)
ac1xpres,,Xpress (Pcp) (ACESYS1)
academy,,Mephisto Academy Schachcomputer
ace,,Ace
ace100,899,Franklin Ace 100
aceattac,,Ace Attacker (FD1094 317-0059)
aceattaca,305,"Ace Attacker (Japan, System 16A, FD1094 317-0060)"
acedrvrw,,Ace Driver: Racing Evolution (Rev. AD2)
acefruit,,Silhouette
acheart,,Arcana Heart
acheartf,,Arcana Heart Full
acitya,2315,Atlantic City Action
aclown,,Clown (Russia) (Atronic)
acombat,1279,"Astro Combat (newer, CB)"
acombat3,1279,Astro Combat (unencrypted)
acombato,1279,"Astro Combat (older, PZ)"
acommand,,Alien Command
acpsx,,Acclaim PSX
acrnsys1,,Acorn System 1
acrobatm,,Acrobat Mission
act2000,,Action 2000 (Version 3.5E Dual)
act2000b1,320,"Action 2000 (Version 3.5R, set 2)"
act2000bx,320,"Action 2000 (Version 3.30XT, set 2)"
act2000d1,320,"Action 2000 (Version 3.5R, set 1)"
act2000dx,320,"Action 2000 (Version 3.30XT, set 1)"
act2000o,320,Action 2000 (Version 3.3)
act2000o2,320,Action 2000 (Version 3.10XT)
act2000o3,320,Action 2000 (Version 1.2)
act2000v1,320,Action 2000 (Version 3.5R Dual)
act2000vx,320,Action 2000 (Version 3.30XT Dual)
actfancr,,Act-Fancer Cybernetick Hyper Weapon (World revision 2)
actfancr1,330,Act-Fancer Cybernetick Hyper Weapon (World revision 1)
actfancrj,330,Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)
actionhw,,Action Hollywood
acw443,1611,ABC 210/Cambridge Workstation
ad2083,,A. D. 2083
ad4ctl,,Cop The Lot Club (Video) (Bellfruit) (Adder 4) (set 1)
ad4ctla,336,Cop The Lot Club (Video) (Bellfruit) (Adder 4) (set 2)
ad4film,,Film Premiere (Video?) (Bellfruit) (Adder 4) (set 1)
ad4filma,338,Film Premiere (Video?) (Bellfruit) (Adder 4) (set 2)
ad4skill,,Skill Dice (BFM) (Scorpion 4 + Adder 4)
ad5bpfpm,,Bullseye Pounds For Points (Mazooma) (Adder 5) (set 1)
ad5bpfpma,341,Bullseye Pounds For Points (Mazooma) (Adder 5) (set 2)
ad5bpfpmb,341,Bullseye Pounds For Points (Mazooma) (Adder 5) (set 3)
ad5bpfpmc,341,Bullseye Pounds For Points (Mazooma) (Adder 5) (set 4)
ad5bpfpmd,341,Bullseye Pounds For Points (Mazooma) (Adder 5) (set 5)
ad5btc,,"Bullseye Triple Club (PR1758, BFGPBULS) (Bellfruit) (Adder 5) (set 1)"
ad5btca,346,"Bullseye Triple Club (PR1758, BFGPBULS) (Bellfruit) (Adder 5) (set 3)"
ad5btcb,346,"Bullseye Triple Club (PR1758, BFGNBULS) (Bellfruit) (Adder 5) (set 4)"
ad5cmons,,Crazy Money (Bellfruit) (Adder 5) (set 1)
ad5cmonsa,349,Crazy Money (Bellfruit) (Adder 5) (set 2)
ad5copsr,,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 1)
ad5copsr0,388,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 7)
ad5copsr1,388,Cops 'n' Robbers (PR2497) (Mazooma) (Adder 5) (set 2)
ad5copsr2,388,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 8)
ad5copsr3,388,Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 1)
ad5copsr4,388,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 5)
ad5copsr5,388,Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 2)
ad5copsr6,388,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 6)
ad5copsr7,388,Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 4)
ad5copsra,351,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 2)
ad5copsrb,351,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 3)
ad5copsrc,351,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 1)
ad5copsrd,351,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 4)
ad5copsre,351,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 5)
ad5copsrf,351,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 6)
ad5copsrg,351,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 2)
ad5copsrh,388,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 1)
ad5copsri,388,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 2)
ad5copsrj,388,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 5)
ad5copsrk,351,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 7)
ad5copsrl,351,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 8)
ad5copsrm,351,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 9)
ad5copsrn,351,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 3)
ad5copsro,351,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 10)
ad5copsrp,351,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 11)
ad5copsrq,351,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 12)
ad5copsrr,351,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 4)
ad5copsrs,388,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 3)
ad5copsrt,388,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 4)
ad5copsru,388,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 6)
ad5copsrv,351,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 13)
ad5copsrw,351,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 14)
ad5copsrx,351,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 5)
ad5copsry,351,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 6)
ad5copsrz,388,Cops 'n' Robbers (PR2497) (Mazooma) (Adder 5) (set 1)
ad5crcpt,,Cops 'n' Robbers Community Party (Bellfruit) (Adder 5) (set 1)
ad5crcpta,386,Cops 'n' Robbers Community Party (Bellfruit) (Adder 5) (set 2)
ad5crsc,,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 1)
ad5crsca,388,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 2)
ad5crscb,388,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 3)
ad5crscc,388,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 4)
ad5crscd,388,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 7)
ad5crsce,388,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 8)
ad5crscf,388,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 9)
ad5crscg,388,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 10)
ad5crsch,388,Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 3)
ad5dnd,,Deal Or No Deal (Bellfruit) (Adder 5) (set 1)
ad5dnda,397,Deal Or No Deal (Bellfruit) (Adder 5) (set 2)
ad5dndb,397,Deal Or No Deal (Bellfruit) (Adder 5) (set 3)
ad5dndc,397,Deal Or No Deal (Bellfruit) (Adder 5) (set 4)
ad5dndcl,,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 1)
ad5dndcla,401,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 2)
ad5dndclb,401,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 3)
ad5dndclc,401,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 4)
ad5dndcld,401,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 5)
ad5dndcle,401,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 6)
ad5dndclf,401,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 20)
ad5dndclg,401,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 21)
ad5dndd,397,Deal Or No Deal (Bellfruit) (Adder 5) (set 5)
ad5dnddd,,Deal Or No Deal Double Deal Or No Deal (Bellfruit) (Adder 5) (set 1)
ad5dnddda,410,Deal Or No Deal Double Deal Or No Deal (Bellfruit) (Adder 5) (set 2)
ad5dnde,397,Deal Or No Deal (Bellfruit) (Adder 5) (set 6)
ad5dndf,397,Deal Or No Deal (Bellfruit) (Adder 5) (set 7)
ad5dndg,397,Deal Or No Deal (Bellfruit) (Adder 5) (set 8)
ad5dndh,397,Deal Or No Deal (Bellfruit) (Adder 5) (set 9)
ad5dndi,397,Deal Or No Deal (Bellfruit) (Adder 5) (set 10)
ad5dndj,397,Deal Or No Deal (Bellfruit) (Adder 5) (set 11)
ad5dndk,397,Deal Or No Deal (Bellfruit) (Adder 5) (set 12)
ad5dndl,397,Deal Or No Deal (Bellfruit) (Adder 5) (set 13)
ad5dndm,397,Deal Or No Deal (Bellfruit) (Adder 5) (set 14)
ad5dndn,397,Deal Or No Deal (Bellfruit) (Adder 5) (set 15)
ad5dndo,397,Deal Or No Deal (Bellfruit) (Adder 5) (set 16)
ad5dndp,397,Deal Or No Deal (Bellfruit) (Adder 5) (set 17)
ad5dndpg,,Deal Or No Deal The Perfect Game (Bellfruit) (Adder 5) (set 1)
ad5dndpga,424,Deal Or No Deal The Perfect Game (Bellfruit) (Adder 5) (set 2)
ad5dndpgb,424,Deal Or No Deal The Perfect Game (Bellfruit) (Adder 5) (set 3)
ad5dndpgc,424,Deal Or No Deal The Perfect Game (Bellfruit) (Adder 5) (set 4)
ad5dndpl,,Deal Or No Deal Platinum (Bellfruit) (Adder 5) (set 1)
ad5dndpla,428,Deal Or No Deal Platinum (Bellfruit) (Adder 5) (set 2)
ad5dndplb,428,Deal Or No Deal Platinum (Bellfruit) (Adder 5) (set 3)
ad5dndplc,428,Deal Or No Deal Platinum (Bellfruit) (Adder 5) (set 4)
ad5dndq,397,Deal Or No Deal (Bellfruit) (Adder 5) (set 18)
ad5dndr,397,Deal Or No Deal (Bellfruit) (Adder 5) (set 19)
ad5dndu,397,Deal Or No Deal (Bellfruit) (Adder 5) (set 22)
ad5dndv,397,Deal Or No Deal (Bellfruit) (Adder 5) (set 23)
ad5eyes,,"Eyes Down (PR2242, MAZNEYDW) (Mazooma) (Adder 5) (set 1)"
ad5eyesa,436,"Eyes Down (PR2242, MAZNEYDW) (Mazooma) (Adder 5) (set 2)"
ad5eyesb,436,"Eyes Down (PR2246, MAZNEYDW) (Mazooma) (Adder 5) (set 1)"
ad5eyesc,436,"Eyes Down (PR2246, MAZPEYDW) (Mazooma) (Adder 5) (set 1)"
ad5eyesd,436,"Eyes Down (PR2242, MAZPEYDW) (Mazooma) (Adder 5) (set 1)"
ad5eyese,436,"Eyes Down (PR2242, MAZPEYDW) (Mazooma) (Adder 5) (set 2)"
ad5eyesf,436,"Eyes Down (PR2246, MAZPEYDW) (Mazooma) (Adder 5) (set 2)"
ad5eyesg,436,"Eyes Down (PR2246, MAZNEYDW) (Mazooma) (Adder 5) (set 2)"
ad5gldmn,,Gold Mine (Bellfruit) (Adder 5) (set 1)
ad5gldmna,444,Gold Mine (Bellfruit) (Adder 5) (set 2)
ad5gldmnb,444,Gold Mine (Bellfruit) (Adder 5) (set 3)
ad5gldmnc,444,Gold Mine (Bellfruit) (Adder 5) (set 4)
ad5gldmnd,444,Gold Mine (Bellfruit) (Adder 5) (set 5)
ad5gldmne,444,Gold Mine (Bellfruit) (Adder 5) (set 6)
ad5gldmnf,444,Gold Mine (Bellfruit) (Adder 5) (set 7)
ad5gldmng,444,Gold Mine (Bellfruit) (Adder 5) (set 8)
ad5gldmnh,444,Gold Mine (Bellfruit) (Adder 5) (set 9)
ad5gldmni,444,Gold Mine (Bellfruit) (Adder 5) (set 10)
ad5gldmnj,444,Gold Mine (Bellfruit) (Adder 5) (set 11)
ad5gldmnk,444,Gold Mine (Bellfruit) (Adder 5) (set 12)
ad5gldwn,,Golden Winner (Mazooma) (Adder 5) (set 1)
ad5gldwna,456,Golden Winner (Mazooma) (Adder 5) (set 2)
ad5hir,,Hi Roller (Bellfruit) (Adder 5) (set 1)
ad5hira,458,Hi Roller (Bellfruit) (Adder 5) (set 2)
ad5hirb,458,Hi Roller (Bellfruit) (Adder 5) (set 3)
ad5hirc,458,Hi Roller (Bellfruit) (Adder 5) (set 4)
ad5hircl,458,Hi Roller Club (Bellfruit) (Adder 5) (set 1)
ad5hircla,458,Hi Roller Club (Bellfruit) (Adder 5) (set 2)
ad5hirclb,458,Hi Roller Club (Bellfruit) (Adder 5) (set 3)
ad5jckmo,,"Jackpot Monopoly (PR2226, MAZNJACM) (Mazooma) (Adder 5) (set 1)"
ad5jckmoa,465,"Jackpot Monopoly (PR2226, MAZNJACM) (Mazooma) (Adder 5) (set 2)"
ad5jckmob,465,"Jackpot Monopoly (PR2253, MAZNJACM) (Mazooma) (Adder 5)"
