name,cloneOf,description
tenspot,,Ten Spot
devilfsg,227,"Devil Fish (Galaxian hardware, bootleg?)"
zigzag,,"Zig Zag (Galaxian hardware, set 1)"
zigzag2,138,"Zig Zag (Galaxian hardware, set 2)"
jumpbug,,Jump Bug
jumpbugb,140,Jump Bug (bootleg)
levers,,Levers
azurian,,Azurian Attack
orbitron,,Orbitron
mooncrgx,146,Moon Cresta (Galaxian hardware)
mooncrst,,Moon Cresta (Nichibutsu)
mooncrstu,146,"Moon Cresta (Nichibutsu USA, unencrypted)"
mooncrsto,146,"Moon Cresta (Nichibutsu, old rev)"
mooncrstg,146,Moon Cresta (Gremlin)
mooncrstuk,146,Moon Cresta (Nichibutsu UK)
smooncrs,146,Super Moon Cresta
mooncmw,146,Moon War (Moon Cresta bootleg)
mooncrsb,146,Moon Cresta (bootleg set 1)
mooncrs2,146,Moon Cresta (bootleg set 2)
spcdrag,146,"Space Dragon (Moon Cresta bootleg, set 1)"
stera,146,Steraranger (Moon Cresta bootleg)
spcdraga,146,"Space Dragon (Moon Cresta bootleg, set 2)"
mooncrs3,146,Moon Cresta (bootleg set 3)
fantazia,146,Fantazia (bootleg?)
moonqsr,,Moon Quasar
mshuttle,,Moon Shuttle (US?)
mshuttlej,161,Moon Shuttle (Japan)
mshuttlej2,161,Moon Shuttle (Japan set 2)
moonal2,96,Moon Alien Part 2
moonal2b,96,Moon Alien Part 2 (older version)
supergx,96,Super GX
eagle,146,Eagle (set 1)
eagle2,146,Eagle (set 2)
eagle3,146,Eagle (set 3)
spctbird,146,Space Thunderbird
skybase,,Sky Base
checkman,,Check Man
checkmanj,172,Check Man (Japan)
dingo,,Dingo
dingoe,174,Dingo (encrypted)
blkhole,,Black Hole
kingball,,King &amp; Balloon (US)
kingballj,177,King &amp; Balloon (Japan)
scorpionmc,297,Scorpion (Moon Cresta hardware)
frogg,275,Frog (Galaxian hardware)
4in1,,4 Fun in 1
bagmanmc,6193,Bagman (bootleg on Moon Cresta hardware)
dkongjrm,946,Donkey Kong Jr. (bootleg on Moon Cresta hardware)
ozon1,,Ozon I
ladybugg,895,Lady Bug (bootleg on Galaxian hardware)
vpool,271,Video Pool (bootleg on Moon Cresta hardware)
drivfrcg,75,Driving Force (Galaxian conversion)
drivfrcb,75,Driving Force (Galaxian conversion bootleg)
bongo,,Bongo
hunchbkg,1240,Hunchback (Galaxian hardware)
harem,,Harem
tazzmang,259,Tazz-Mania (bootleg on Galaxian hardware)
racknrol,,Rack + Roll
hexpool,193,Hex Pool (Shinkai)
hexpoola,193,Hex Pool (Senko)
trvchlng,,Trivia Challenge
luctoday,,Lucky Today
chewing,197,Chewing Gum
catacomb,,Catacomb
ckongg,307,Crazy Kong (bootleg on Galaxian hardware)
ckongmc,307,Crazy Kong (bootleg on Moon Cresta hardware)
porter,6172,Port Man (bootleg on Moon Cresta hardware)
vstars,,Video Stars
tdpgal,,Triple Draw Poker
rockclim,,Rock Climber
scramble,,Scramble
scrambles,206,Scramble (Stern Electronics)
scramblebf,206,"Scramble (Karateko, French bootleg)"
scramblb,206,Scramble (bootleg on Galaxian hardware)
scramb2,206,Scramble (bootleg)
explorer,206,Explorer
strfbomb,206,Strafe Bomb
atlantis,,Battle of Atlantis (set 1)
atlantis2,213,Battle of Atlantis (set 2)
theend,,The End
theends,215,The End (Stern Electronics)
omega,215,Omega
ckongs,307,Crazy Kong (Scramble hardware)
froggers,275,Frog
frogf,275,Frog (Falcon bootleg)
amidars,279,Amidar (Scramble hardware)
triplep,,Triple Punch
knockout,222,Knock Out!!
mariner,,Mariner
800fath,224,800 Fathoms
mars,,Mars
devilfsh,,Devil Fish
newsin7,,New Sinbad 7
mrkougar,,Mr. Kougar
mrkougar2,229,Mr. Kougar (earlier)
mrkougb,229,Mr. Kougar (bootleg set 1)
mrkougb2,229,Mr. Kougar (bootleg set 2)
hotshock,,Hot Shocker
hotshockb,233,Hot Shocker (bootleg)
conquer,,Conquer
hunchbks,1240,Hunchback (Scramble hardware)
hncholms,1245,Hunchback Olympic (Scramble hardware)
cavelon,,Cavelon
sfx,,SF-X
skelagon,239,Skelagon
monsterz,,Monster Zero
mimonscr,243,Mighty Monkey (bootleg on Scramble hardware)
mimonkey,,Mighty Monkey
mimonsco,243,Mighty Monkey (bootleg on Super Cobra hardware)
scobra,,Super Cobra
scobras,245,Super Cobra (Stern Electronics)
scobrase,245,Super Cobra (Sega)
scobrab,245,Super Cobra (bootleg)
suprheli,245,Super Heli (Super Cobra bootleg)
stratgyx,,Strategy X
stratgys,250,Strategy X (Stern Electronics)
strongx,250,Strong X
armorcar,,Armored Car (set 1)
armorcar2,253,Armored Car (set 2)
moonwar,,Moonwar
moonwara,255,Moonwar (older)
spdcoin,,Speed Coin (prototype)
darkplnt,,Dark Planet
tazmania,,Tazz-Mania (set 1)
tazmani2,259,Tazz-Mania (set 2)
calipso,,Calipso
anteater,,Anteater
anteatg,262,Ameisenbaer (German)
anteatgb,262,The Anteater (UK)
rescue,,Rescue
aponow,265,Apocaljpse Now
minefld,,Minefield
losttomb,,Lost Tomb (easy)
losttombh,268,Lost Tomb (hard)
superbon,,Agent Super Bond (Scobra Hardware)
hustler,,Video Hustler
billiard,271,The Billiards (Video Hustler bootleg)
hustlerb,271,Video Hustler (bootleg)
hustlerb2,271,Fatsy Gambler (Video Hustler bootleg)
frogger,,Frogger
froggers1,275,Frogger (Sega set 1)
froggers2,275,Frogger (Sega set 2)
froggermc,275,Frogger (Moon Cresta hardware)
amidar,,Amidar
amidaru,279,Amidar (Stern Electronics)
amidaro,279,Amidar (Olympia)
amidarb,279,Amidar (bootleg)
amigo,279,Amigo
turtles,,Turtles
turpin,284,Turpin
600,284,600
flyboy,,Fly-Boy
flyboyb,287,Fly-Boy (bootleg)
fastfred,287,Fast Freddie
jumpcoas,,Jump Coaster
jumpcoast,290,Jump Coaster (Taito)
boggy84,,Boggy '84
boggy84b,292,Boggy '84 (bootleg)
redrobin,,Red Robin
imago,,Imago (cocktail set)
imagoa,295,Imago (no cocktail set)
scorpion,,Scorpion (set 1)
scorpiona,297,Scorpion (set 2)
scorpionb,297,Scorpion (set 3)
aracnis,297,Aracnis (bootleg of Scorpion on Moon Cresta hardware)
ad2083,,A. D. 2083
turpins,284,Turpin (bootleg on Scramble hardware)
cclimber,,Crazy Climber (US)
cclimberj,303,Crazy Climber (Japan)
ccboot,303,Crazy Climber (bootleg set 1)
ccboot2,303,Crazy Climber (bootleg set 2)
ckong,,Crazy Kong
ckongo,307,Crazy Kong (Orca bootleg)
ckongalc,307,Crazy Kong (Alca bootleg)
bigkong,307,Big Kong
monkeyd,307,Monkey Donkey
ckongpt2,,Crazy Kong Part II (set 1)
ckongpt2a,312,Crazy Kong Part II (set 2)
ckongpt2j,312,Crazy Kong Part II (Japan)
ckongpt2jeu,312,Crazy Kong Part II (Jeutel bootleg)
ckongpt2b,312,Crazy Kong Part II (alternative levels)
rpatrol,,River Patrol (Orca)
rpatrolb,317,River Patrol (bootleg)
silvland,317,Silver Land
yamato,,Yamato (US)
yamato2,320,Yamato (World?)
toprollr,,Top Roller
swimmer,,Swimmer (set 1)
swimmera,323,Swimmer (set 2)
swimmerb,323,Swimmer (set 3)
guzzler,,Guzzler
cannonb,74,"Cannon Ball (bootleg on Crazy Kong hardware) (set 1, buggy)"
cannonb2,74,"Cannon Ball (bootleg on Crazy Kong hardware) (set 2, buggy)"
cannonb3,74,"Cannon Ball (bootleg on Crazy Kong hardware) (set 3, no bonus game)"
bagmanf,6193,Bagman (bootleg on Crazy Kong hardware)
gomoku,,Gomoku Narabe Renju
wiping,,Wiping
rugrats,332,Rug Rats
dacholer,,Dacholer
kickboy,,Kick Boy
friskyt,,Frisky Tom (set 1)
friskyta,336,Frisky Tom (set 2)
radrad,,Radical Radial
seicross,,Seicross
sectrzon,339,Sector Zone
firebatl,,Fire Battle
clshroad,,Clash-Road
clshroads,342,Clash-Road (Status license)
tubep,,Tube Panic
tubepb,344,Tube Panic (bootleg)
rjammer,,Roller Jammer
magmax,,Mag Max
cop01,,Cop 01 (set 1)
cop01a,348,Cop 01 (set 2)
mightguy,,Mighty Guy
terracre,,Terra Cresta (YM3526 set 1)
terracrea,351,Terra Cresta (YM3526 set 2)
terracren,351,Terra Cresta (YM2203)
amazon,,Soldier Girl Amazon
amatelas,354,Sei Senshi Amatelass
horekid,,Kid no Hore Hore Daisakusen
horekidb,356,Kid no Hore Hore Daisakusen (bootleg)
boobhack,356,Booby Kids (Italian manufactured graphic hack / bootleg of Kid no Hore Hore Daisakusen (bootleg))
galivan,,Galivan - Cosmo Police (12/16/1985)
galivan2,359,Galivan - Cosmo Police (12/11/1985)
dangar,,Dangar - Ufo Robo (12/1/1986)
dangar2,361,Dangar - Ufo Robo (9/26/1986)
dangarb,361,Dangar - Ufo Robo (bootleg)
ninjemak,,Ninja Emaki (US)
youma,364,Youma Ninpou Chou (Japan)
youma2,364,"Youma Ninpou Chou (Japan, alt)"
youmab,364,"Youma Ninpou Chou (Game Electronics bootleg, set 1)"
youmab2,364,"Youma Ninpou Chou (Game Electronics bootleg, set 2)"
legion,,Chouji Meikyuu Legion (ver 2.03)
legiono,369,Chouji Meikyuu Legion (ver 1.05)
terraf,,Terra Force (set 1)
terrafb,371,Terra Force (bootleg with additional Z80)
terrafa,371,Terra Force (set 2)
terrafu,371,Terra Force (US)
kodure,,Kodure Ookami (Japan)
armedf,,Armed Formation
armedff,376,Armed Formation (Fillmore license)
cclimbr2,,Crazy Climber 2 (Japan)
cclimbr2a,378,"Crazy Climber 2 (Japan, Harder)"
skyrobo,,Sky Robo
bigfghtr,380,Tatakae! Big Fighter
hyhoo,,Taisen Quiz HYHOO (Japan)
hyhoo2,,Taisen Quiz HYHOO 2 (Japan)
jangou,,Jangou [BET] (Japan)
macha,,Monoshiri Quiz Osyaberi Macha (Japan)
jngolady,,Jangou Lady (Japan)
cntrygrl,,Country Girl (Japan set 1)
cntrygrla,387,Country Girl (Japan set 2)
fruitbun,387,Fruits &amp; Bunny (World?)
luckygrl,,Lucky Girl? (Wing)
nightgal,,Night Gal (Japan 840920 AG 1-00)
ngtbunny,,Night Bunny (Japan 840601 MRN 2-10)
royalngt,392,Royal Night [BET] (Japan 840220 RN 2-00)
royalqn,,Royal Queen [BET] (Japan 841010 RQ 0-07)
sexygal,,Sexy Gal (Japan 850501 SXG 1-00)
sweetgal,395,Sweet Gal (Japan 850510 SWG 1-02)
ngalsumr,,Night Gal Summer
pastelg,,Pastel Gal (Japan 851224)
3ds,,Three Ds - Three Dealers Casino House
crystalg,,Crystal Gal (Japan 860512)
crystal2,,Crystal Gal 2 (Japan 860620)
nightlov,,Night Love (Japan 860705)
citylove,,City Love (Japan 860908)
mcitylov,403,City Love [BET] (Japan 860904)
apparel,,Apparel Night (Japan 860929)
secolove,,Second Love (Japan 861201)
barline,,Barline (Japan?)
housemnq,,House Mannequin (Japan 870217)
housemn2,,House Mannequin Roppongi Live hen (Japan 870418)
livegal,,Live Gal (Japan 870530)
seiha,,Seiha (Japan 870725)
seiham,411,Seiha [BET] (Japan 870723)
mjgaiden,,Mahjong Gaiden [BET] (Japan 870803)
bijokkoy,,Bijokko Yume Monogatari (Japan 870925)
iemoto,,Iemoto (Japan 871020)
iemotom,415,Iemoto [BET] (Japan 871118)
ryuuha,415,Ryuuha [BET] (Japan 871027)
ojousan,,Ojousan (Japan 871204)
ojousanm,418,Ojousan [BET] (Japan 870108)
bijokkog,,Bijokko Gakuen (Japan 880116)
orangec,,Orange Club - Maruhi Kagai Jugyou (Japan 880213)
orangeci,421,Orange Club - Maru-hi Ippatsu Kaihou [BET] (Japan 880221)
vipclub,421,Vip Club - Maru-hi Ippatsu Kaihou [BET] (Japan 880310)
korinai,,Mahjong-zukino Korinai Menmen (Japan 880425)
korinaim,424,Mahjong-zukino Korinai Menmen [BET] (Japan 880920)
kaguya,,Mahjong Kaguyahime [BET] (Japan 880521)
kaguya2,,Mahjong Kaguyahime Sono2 [BET] (Japan 890829)
kaguya2f,427,Mahjong Kaguyahime Sono2 Fukkokuban [BET] (Japan 010808)
otonano,,Otona no Mahjong (Japan 880628)
kanatuen,,Kanatsuen no Onna [BET] (Japan 880905)
kyuhito,430,Kyukyoku no Hito [BET] (Japan 880824)
mjsikaku,,Mahjong Shikaku (Japan 880908)
mjsikakb,432,Mahjong Shikaku (Japan 880722)
mjsikakc,432,Mahjong Shikaku (Japan 880806)
mjsikakd,432,Mahjong Shikaku (Japan 880802)
mmsikaku,432,Mahjong Shikaku [BET] (Japan 880929)
mjcamera,,Mahjong Camera Kozou (set 1) (Japan 881109)
mmcamera,447,Mahjong Camera Kozou [BET] (Japan 890509)
msjiken,,Mahjong Satsujin Jiken (Japan 881017)
hanamomo,,Mahjong Hana no Momoko gumi (Japan 881201)
hanamomb,440,Mahjong Hana no Momoko gumi (Japan 881125)
telmahjn,,Telephone Mahjong (Japan 890111)
taiwanmb,,Taiwan Mahjong [BET] (Japan 881208)
gionbana,,Gionbana (Japan 890120)
idhimitu,,Idol no Himitsu [BET] (Japan 890304)
mgion,,Gionbana [BET] (Japan 890207)
mjcamerb,,Mahjong Camera Kozou (set 2) (Japan 881109)
omotesnd,,Omotesandou (Japan 890215)
abunai,,Abunai Houkago - Mou Matenai (Japan 890325)
mjfocus,,Mahjong Focus (Japan 890313)
mjfocusm,450,Mahjong Focus [BET] (Japan 890510)
peepshow,450,Nozokimeguri Mahjong Peep Show (Japan 890404)
scandal,,Scandal Mahjong (Japan 890213)
scandalm,453,Scandal Mahjong [BET] (Japan 890217)
mgmen89,,Mahjong G-MEN'89 (Japan 890425)
mjnanpas,,Mahjong Nanpa Story (Japan 890713)
mjnanpaa,456,Mahjong Nanpa Story (Japan 890712)
mjnanpau,456,Mahjong Nanpa Story (Ura) (Japan 890805)
pairsnb,,Pairs (Nichibutsu) (Japan 890822)
pairsten,459,Pairs (System Ten) (Japan 890826)
bananadr,,Mahjong Banana Dream [BET] (Japan 891124)
mladyhtr,,Mahjong THE LADY HUNTER (Japan 900509)
chinmoku,,Mahjong Chinmoku no Hentai (Japan 900511)
maiko,,Maikobana (Japan 900802)
mmaiko,,Maikobana [BET] (Japan 900911)
hnageman,,AV Hanafuda Hana no Ageman (Japan 900716)
hnxmasev,,AV Hanafuda Hana no Christmas Eve (Japan 901204)
club90s,,Mahjong CLUB 90's (set 1) (Japan 900919)
club90sa,468,Mahjong CLUB 90's (set 2) (Japan 900919)
lovehous,468,Mahjong Love House [BET] (Japan 901024)
hanaoji,,Hana to Ojisan [BET] (Japan 911209)
pstadium,,Mahjong Panic Stadium (Japan)
triplew1,,Mahjong Triple Wars (Japan)
triplew2,,Mahjong Triple Wars 2 (Japan)
ntopstar,,Mahjong Nerae! Top Star (Japan)
mjlstory,,Mahjong Jikken Love Story (Japan)
vanilla,,Mahjong Vanilla Syndrome (Japan)
finalbny,477,Mahjong Final Bunny [BET] (Japan)
qmhayaku,,Quiz-Mahjong Hayaku Yatteyo! (Japan)
mjgottub,,Medal Mahjong Gottsu ee-kanji [BET] (Japan)
galkoku,,Mahjong Gal no Kokuhaku (Japan)
hyouban,481,Mahjong Hyouban Musume [BET] (Japan)
galkaika,,Mahjong Gal no Kaika (Japan)
tokyogal,,Tokyo Gal Zukan (Japan)
tokimbsj,484,Tokimeki Bishoujo [BET] (Japan)
mcontest,,Miss Mahjong Contest (Japan)
uchuuai,,Mahjong Uchuu yori Ai wo komete (Japan)
av2mj1bb,,AV2Mahjong No.1 Bay Bridge no Seijo (Japan)
av2mj2rg,,AV2Mahjong No.2 Rouge no Kaori (Japan)
ohpaipee,,Oh! Paipee (Japan 890227)
togenkyo,,Tougenkyou (Japan 890418)
mjuraden,,Mahjong Uranai Densetsu (Japan)
koinomp,,Mahjong Koi no Magic Potion (Japan)
patimono,,Mahjong Pachinko Monogatari (Japan)
janbari,,Mahjong Janjan Baribari (Japan)
mjanbari,495,Medal Mahjong Janjan Baribari [BET] (Japan)
ultramhm,,Ultra Maru-hi Mahjong (Japan)
gal10ren,,Mahjong Gal 10-renpatsu (Japan)
renaiclb,,Mahjong Ren-ai Club (Japan)
mjlaman,,Mahjong La Man (Japan)
mkeibaou,,Mahjong Keibaou (Japan)
pachiten,,Medal Mahjong Pachi-Slot Tengoku [BET] (Japan)
sailorws,,Mahjong Sailor Wars (Japan set 1)
sailorwa,503,Mahjong Sailor Wars (Japan set 2)
sailorwr,503,Mahjong Sailor Wars-R [BET] (Japan)
wcatcher,,Mahjong Wakuwaku Catcher (Japan)
jituroku,,Jitsuroku Maru-chi Mahjong (Japan)
yosimoto,,Mahjong Yoshimoto Gekijou (Japan)
psailor1,,Bishoujo Janshi Pretty Sailor 18-kin (Japan)
psailor2,,Bishoujo Janshi Pretty Sailor 2 (Japan)
otatidai,,Disco Mahjong Otachidai no Okite (Japan)
ngpgal,,Nekketsu Grand-Prix Gal (Japan)
mjgottsu,,Mahjong Gottsu ee-kanji (Japan)
bakuhatu,513,Mahjong Bakuhatsu Junjouden (Japan)
cmehyou,,Mahjong Circuit no Mehyou (Japan)
mmehyou,,Medal Mahjong Circuit no Mehyou [BET] (Japan)
mjkoiura,,Mahjong Koi Uranai (Japan set 1)
mkoiuraa,517,Mahjong Koi Uranai (Japan set 2)
imekura,,Imekura Mahjong (Japan)
mscoutm,,Mahjong Scout Man (Japan)
mjegolf,,Mahjong Erotica Golf (Japan)
mhhonban,,Mahjong Housoukyoku Honbanchuu (Japan)
4psimasy,,Mahjong 4P Simasyo (Japan)
musobana,,Musoubana (Japan)
niyanpai,,Niyanpai (Japan)
safarir,,Safari Rally (Japan)
phoenix,,Phoenix (Amstar)
phoenixa,527,"Phoenix (Centuri, set 1)"
phoenixb,527,"Phoenix (Centuri, set 2)"
phoenixt,527,Phoenix (Taito)
phoenixj,527,Phoenix (Taito Japan)
phoenix3,527,Phoenix (T.P.N.)
phoenixc,527,Phoenix (Irecsa / G.G.I Corp)
condor,527,Condor (bootleg of Phoenix)
fenix,527,Fenix (bootleg of Phoenix)
falcon,527,Falcon (bootleg of Phoenix) (8085A CPU)
vautour,527,Vautour (bootleg of Phoenix) (8085A CPU)
falconz,527,Falcon (bootleg of Phoenix) (Z80 CPU)
vautourz,527,Vautour (bootleg of Phoenix) (Z80 CPU)
griffon,527,Griffon (bootleg of Phoenix)
nextfase,527,Next Fase (bootleg of Phoenix)
pleiads,,Pleiads (Tehkan)
pleiadbl,542,Pleiads (bootleg)
pleiadce,542,Pleiads (Centuri)
capitol,542,Capitol
survival,,Survival
naughtyb,,Naughty Boy
naughtyba,547,Naughty Boy (bootleg)
naughtybc,547,Naughty Boy (Cinematronics)
popflame,,Pop Flamer (protected)
popflamea,550,Pop Flamer (not protected)
popflameb,550,Pop Flamer (hack?)
popflamen,550,Pop Flamer (bootleg on Naughty Boy PCB)
trvmstr,,Trivia Master (set 1)
trvmstra,554,Trivia Master (set 2)
trvmstrb,554,Trivia Master (set 3)
trvmstrc,554,Trivia Master (set 4)
trvgns,554,Trivia Genius
geebee,,Gee Bee
geebeeb,559,Gee Bee (F.lli Bertolino license)
geebeeg,559,Gee Bee (Gremlin)
bombbee,,Bomb Bee
cutieq,,Cutie Q
navarone,,Navarone
kaitein,566,Kaitei Takara Sagashi (Namco license)
kaitei,,Kaitei Takara Sagashi
sos,,SOS
tankbatt,,Tank Battalion
warpwarp,,Warp &amp; Warp
warpwarpr,569,Warp Warp (Rock-Ola set 1)
warpwarpr2,569,Warp Warp (Rock-Ola set 2)
rallyx,,Rally X (32k Ver.?)
rallyxa,572,Rally X
rallyxm,572,Rally X (Midway)
nrallyx,,New Rally X
nrallyxb,575,New Rally X (bootleg?) 
jungler,,Jungler
junglers,577,Jungler (Stern Electronics)
tactcian,,Tactician (set 1)
tactcian2,579,Tactician (set 2)
locomotn,,Loco-Motion
gutangtn,581,Guttang Gottong
cottong,581,Cotocoto Cottong
locoboot,581,Loco-Motion (bootleg)
commsega,,Commando (Sega)
bosco,,Bosconian (new version)
boscoo,586,Bosconian (old version)
boscoo2,586,Bosconian (older version)
boscomd,586,"Bosconian (Midway, new version)"
boscomdo,586,"Bosconian (Midway, old version)"
galaga,,Galaga (Namco rev. B)
galagao,591,Galaga (Namco)
galagamw,591,Galaga (Midway set 1)
galagamk,591,Galaga (Midway set 2)
galagamf,591,Galaga (Midway set 1 with fast shoot hack)
gallag,591,Gallag
gatsbee,591,Gatsbee
digdug,,Dig Dug (rev 2)
digdug1,598,Dig Dug (rev 1)
digdugat,598,"Dig Dug (Atari, rev 2)"
digdugat1,598,"Dig Dug (Atari, rev 1)"
dzigzag,598,Zig Zag (Dig Dug hardware)
digsid,598,Dig Dug (manufactured by Sidam)
xevious,,Xevious (Namco)
xeviousa,604,Xevious (Atari set 1)
xeviousb,604,Xevious (Atari set 2)
xeviousc,604,Xevious (Atari set 3)
xevios,604,Xevios
battles,604,Battles
sxevious,604,Super Xevious
sxeviousj,604,Super Xevious (Japan)
superpac,,Super Pac-Man
superpacm,612,Super Pac-Man (Midway)
pacnpal,,Pac &amp; Pal
pacnpal2,614,Pac &amp; Pal (older)
pacnchmp,614,Pac-Man &amp; Chomp Chomp
phozon,,Phozon (Japan)
mappy,,Mappy (US)
mappyj,618,Mappy (Japan)
digdug2,,Dig Dug II (New Ver.)
digdug2o,620,Dig Dug II (Old Ver.)
todruaga,,Tower of Druaga (New Ver.)
todruagao,622,Tower of Druaga (Old Ver.)
todruagas,622,Tower of Druaga (Sidam)
motos,,Motos
grobda,,Grobda (New Ver.)
grobda2,626,Grobda (Old Ver. set 1)
grobda3,626,Grobda (Old Ver. set 2)
gaplus,,Gaplus (rev. D)
gaplusa,629,Gaplus (alternate hardware)
gapluso,629,Gaplus (rev. B)
galaga3,629,Galaga 3 (rev. C)
galaga3m,629,Galaga 3 (set 3)
galaga3a,629,Galaga 3 (set 2)
liblrabl,,Libble Rabble
toypop,,Toypop
polepos,,Pole Position
poleposa,637,Pole Position (Atari version 2)
polepos1,637,Pole Position (Atari version 1)
topracer,637,"Top Racer (with MB8841 + MB8842, 1984)"
topracera,637,"Top Racer (with MB8841 + MB8842, 1983)"
topracern,637,Top Racer (no MB8841 + MB8842)
polepos2,,Pole Position II
polepos2a,643,Pole Position II (Atari)
polepos2b,643,Pole Position II (bootleg)
polepos2bi,643,Gran Premio F1 (Italian bootleg of Pole Position II)
