name,cloneOf,description
20pacgalr0,46,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.00)
20pacgalr1,46,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.01)
20pacgalr2,46,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.02)
20pacgalr3,46,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.03)
20pacgalr4,46,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.04)
24_130,55,24 v1.30
24_140,55,24 v1.40
24_144,55,24 v1.44
24_150,,24 v1.50
24cdjuke,,Midcoin Juke Box 24CD
25pacman,,Pac-Man - 25th Anniversary Edition (Rev 3.00)
25pacmano,57,Pac-Man - 25th Anniversary Edition (Rev 2.00)
280zzzap,,280-ZZZAP
2mindril,,Two Minute Drill
2spicy,9217,2 Spicy
30test,,30 Test (Remake)
39in1,,39 in 1 MAME bootleg
3bagflnz,65,"3 Bags Full (3VXFC5345, New Zealand)"
3bagflvt,,"3 Bags Full (5VXFC790, Victoria)"
3countb,17898,3 Count Bout / Fire Suplex (NGM-043)(NGH-043)
3dobios,,3DO Bios
3in1semi,,XESS - The New Revolution (SemiCom 3-in-1)
3kokushi,,Sankokushi (Japan)
3on3dunk,,"3 On 3 Dunk Madness (US, prototype? 1997/02/04)"
3stooges,,The Three Stooges In Brides Is Brides (set 1)
3stoogesa,71,The Three Stooges In Brides Is Brides (set 2)
3super8,27434,3 Super 8 (Italy)
3wishrd,,Three Wishes Red (Russia) (Atronic)
3wonders,,Three Wonders (World 910520)
3wondersb,75,Three Wonders (bootleg)
3wondersh,75,Three Wonders (hack)
3wondersr1,75,Three Wonders (World 910513)
3wondersu,75,Three Wonders (USA 910520)
3x3puzzl,,3X3 Puzzle (Enterprise)
3x3puzzla,80,3X3 Puzzle (Normal)
40love,,Forty-Love
47pie2,,Idol Janshi Su-Chi-Pie 2 (v1.1)
47pie2o,83,Idol Janshi Su-Chi-Pie 2 (v1.0)
48in1,63,"48 in 1 MAME bootleg (set 1, ver 3.09)"
48in1a,63,"48 in 1 MAME bootleg (set 3, ver 3.02)"
48in1b,63,"48 in 1 MAME bootleg (set 2, ver 3.09, alt flash)"
4dwarrio,,4-D Warriors (315-5162)
4enlinea,,Cuatro en Linea
4enraya,,4 En Raya (set 1)
4enrayaa,90,4 En Raya (set 2)
4in1,,4 Fun in 1
4in1a,63,"4 in 1 MAME bootleg (set 1, ver 3.00)"
4in1b,63,4 in 1 MAME bootleg (set 2)
4in1boot,,"Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.)"
4psimasy,,Mahjong 4P Simasyo (Japan)
4roses,,"Four Roses (encrypted, set 1)"
4rosesa,97,"Four Roses (encrypted, set 2)"
500gp,,500 GP (5GP3 Ver. C)
50lions,803,"50 Lions (10120511, NSW/ACT)"
50lionsa,0,"50 Lions (10156111, Malaysia)"
5acespkr,,5-Aces Poker
5clown,,"Five Clown (English, set 1)"
5clowna,103,"Five Clown (English, set 2)"
5clownsp,103,Five Clown (Spanish hack)
600,28801,600
60in1,63,60 in 1 MAME bootleg (ver 3.00)
64street,,64th. Street - A Detective Story (World)
64streetj,108,64th. Street - A Detective Story (Japan)
720,,720 Degrees (rev 4)
720g,110,"720 Degrees (German, rev 2)"
720gr1,110,"720 Degrees (German, rev 1)"
720r1,110,720 Degrees (rev 1)
720r2,110,720 Degrees (rev 2)
720r3,110,720 Degrees (rev 3)
7jigen,,7jigen no Youseitachi - Mahjong 7 Dimensions (Japan)
7mezzo,,7 e Mezzo
7ordi,,7 Ordi (Korea)
7smash,,7 Smash
7toitsu,17168,Chi-Toitsu
800fath,16930,800 Fathoms
86lions,,86 Lions
88games,,'88 Games
8ball,,Video Eight Ball
8ball1,124,Video Eight Ball (Rev.1)
8ballact,,Eight Ball Action (DK conversion)
8ballact2,126,Eight Ball Action (DKJr conversion)
8bpm,126,Eight Ball Action (Pac-Man conversion)
98best44,,Neo Print - '98 NeoPri Best 44 (Japan)
99bottles,5663,99 Bottles of Beer
99lstwar,19999,'99: The Last War (set 1)
99lstwara,19999,'99: The Last War (set 2)
99lstwark,19999,'99: The Last War (Kyugo)
9ballsht,,9-Ball Shootout (set 1)
9ballsht2,134,9-Ball Shootout (set 2)
9ballsht3,134,9-Ball Shootout (set 3)
9ballshtc,134,9-Ball Shootout Championship
a51mxr3k,791,Area 51 / Maximum Force Duo (R3000)
a51site4,,"Area 51: Site 4 (HD Rev 2.01, September 7, 1998)"
a51site4a,139,"Area 51: Site 4 (HD Rev 2.0, September 11, 1998)"
aadvent,,African Adventure (Konami Endeavour)
aafb,,All American Football (rev E)
aafbb,142,All American Football (rev B)
aafbc,142,All American Football (rev C)
aafbd2p,142,"All American Football (rev D, 2 Players)"
aar_101,,Aaron Spelling (1.01)
aavenger,,Airborne Avenger
abacus,,Abacus (Ver 1.0)
abaseb,,Atari Baseball (set 1)
abaseb2,149,Atari Baseball (set 2)
abattle,1063,Astro Battle (set 1)
abattle2,1063,Astro Battle (set 2)
abclimax,9217,After Burner Climax (Export)
abcop,,"A.B. Cop (World, FD1094 317-0169b)"
abcopj,154,"A.B. Cop (Japan, FD1094 317-0169b)"
abigchs,,Big Cheese (Russia) (Atronic)
abnudge,,Animal Bonus Nudge (Version 2.1 Dual)
abnudgeb,157,"Animal Bonus Nudge (Version 2.0, set 1)"
abnudged,157,"Animal Bonus Nudge (Version 2.0, set 2)"
abnudgeo,157,Animal Bonus Nudge (Version 1.7)
abscam,19506,Abscam
abunai,,Abunai Houkago - Mou Matenai (Japan 890325)
aburner,164,After Burner
aburner2,,After Burner II
aburner2g,164,After Burner II (German)
abv106,,Airborne
abv106r,166,Airborne (Redemption)
ac1bbclb,,Big Break Club (Ace) (ACESYS1) (set 1)
ac1bbclba,168,Big Break Club (Ace) (ACESYS1) (set 2)
ac1bluec,,Blue Chip (Pcp) (ACESYS1) (set 1)
ac1blueca,170,Blue Chip (Pcp) (ACESYS1) (set 2)
ac1bluecb,170,Blue Chip (Pcp) (ACESYS1) (set 3)
ac1bluecc,170,Blue Chip (Pcp) (ACESYS1) (set 4)
ac1bluecd,170,Blue Chip (Pcp) (ACESYS1) (set 5)
ac1clbmn,,Club Money (Ace) (ACESYS1) (set 1)
ac1clbsv,,Club Sovereign (Ace) (ACESYS1)
ac1clbxt,,Club Xtra (Ace) (ACESYS1) (set 1)
ac1clbxta,177,Club Xtra (Ace) (ACESYS1) (set 2)
ac1cshtw,,Cash Towers (Ace) (ACESYS1)
ac1dbldx,,Double Deluxe (Pcp) (ACESYS1)
ac1gogld,,Go For Gold (Ace) (ACESYS1) (set 1)
ac1hideh,,Hi De Hi Deluxe (Ace) (ACESYS1) (set 1)
ac1hideha,26997,Hi De Hi Deluxe (Ace) (ACESYS1) (set 2)
ac1hotpf,,Hot Profit (Ace) (ACESYS1)
ac1nudbk,,Nudge Break (Pcp) (ACESYS1) (set 1)
ac1nudbka,185,Nudge Break (Pcp) (ACESYS1) (set 2)
ac1nudbkb,185,Nudge Break (Pcp) (ACESYS1) (set 3)
ac1nudbkc,185,Nudge Break (Pcp) (ACESYS1) (set 4)
ac1nudbkd,185,Nudge Break (Pcp) (ACESYS1) (set 5)
ac1piaca,,Play It Again Casino (Ace) (ACESYS1)
ac1piacl,,Play It Again Club (Ace) (ACESYS1) (set 1)
ac1piacla,191,Play It Again Club (Ace) (ACESYS1) (set 2)
ac1piaclb,191,Play It Again Club (Ace) (ACESYS1) (set 3)
ac1piaclc,191,Play It Again Club (Ace) (ACESYS1) (set 4)
ac1primt,,Primetime (Ace) (ACESYS1) (set 1)
ac1prmcl,,Premier Club (Ace) (ACESYS1) (set 1)
ac1prmcla,196,Premier Club (Ace) (ACESYS1) (set 2)
ac1prmclb,196,Premier Club (Ace) (ACESYS1) (set 3)
ac1prmclc,196,Premier Club (Ace) (ACESYS1) (set 4)
ac1pster,,Pound Sterling (Ace) (ACESYS1)
ac1pstrt,,Pound Stretcher (Pcp) (ACESYS1)
ac1roll,,Roll Up (Pcp) (ACESYS1) (set 1)
ac1rolla,202,Roll Up (Pcp) (ACESYS1) (set 2)
ac1rollb,202,Roll Up (Pcp) (ACESYS1) (set 3)
ac1rundx,,Runner Deluxe Club (Ace) (ACESYS1) (set 1)
ac1rundxa,205,Runner Deluxe Club (Ace) (ACESYS1) (set 2)
ac1shid,,Super Hi De Hi (Ace) (ACESYS1) (set 1)
ac1shida,207,Super Hi De Hi (Ace) (ACESYS1) (set 2)
ac1sstrk,,Starstruck (Pcp) (ACESYS1) (set 1)
ac1sstrka,209,Starstruck (Pcp) (ACESYS1) (set 2)
ac1sstrkb,209,Starstruck (Pcp) (ACESYS1) (set 3)
ac1taklv,,Take It Or Leave It (Ace) (ACESYS1) (set 1)
ac1totb,,Top Of The Bill (Ace) (ACESYS1)
ac1xpres,,Xpress (Pcp) (ACESYS1)
ace,,Ace
aceattac,,Ace Attacker (FD1094 317-0059)
aceattaca,216,"Ace Attacker (Japan, System 16A, FD1094 317-0060)"
acedrvrw,,Ace Driver: Racing Evolution (Rev. AD2)
acefruit,,Silhouette
acheart,,Arcana Heart
acheartf,,Arcana Heart Full
acitya,1926,Atlantic City Action
aclown,,Clown (Russia) (Atronic)
acombat,1063,"Astro Combat (newer, CB)"
acombat3,1063,Astro Combat (unencrypted)
acombato,1063,"Astro Combat (older, PZ)"
acommand,,Alien Command
acpsx,,Acclaim PSX
acrobatm,,Acrobat Mission
act2000,,Action 2000 (Version 3.5E Dual)
act2000b1,230,"Action 2000 (Version 3.5R, set 2)"
act2000bx,230,"Action 2000 (Version 3.30XT, set 2)"
act2000d1,230,"Action 2000 (Version 3.5R, set 1)"
act2000dx,230,"Action 2000 (Version 3.30XT, set 1)"
act2000o,230,Action 2000 (Version 3.3)
act2000o2,230,Action 2000 (Version 3.10XT)
act2000o3,230,Action 2000 (Version 1.2)
act2000v1,230,Action 2000 (Version 3.5R Dual)
act2000vx,230,Action 2000 (Version 3.30XT Dual)
actfancr,,Act-Fancer Cybernetick Hyper Weapon (World revision 2)
actfancr1,240,Act-Fancer Cybernetick Hyper Weapon (World revision 1)
actfancrj,240,Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)
actionhw,,Action Hollywood
ad2083,,A. D. 2083
ad4ctl,,Cop The Lot Club (Video) (Bellfruit) (Adder 4) (set 1)
ad4ctla,245,Cop The Lot Club (Video) (Bellfruit) (Adder 4) (set 2)
ad4film,,Film Premiere (Video?) (Bellfruit) (Adder 4) (set 1)
ad4filma,247,Film Premiere (Video?) (Bellfruit) (Adder 4) (set 2)
ad4skill,,Skill Dice (BFM) (Scorpion 4 + Adder 4)
ad5bpfpm,,Bullseye Pounds For Points (Mazooma) (Adder 5) (set 1)
ad5bpfpma,250,Bullseye Pounds For Points (Mazooma) (Adder 5) (set 2)
ad5bpfpmb,250,Bullseye Pounds For Points (Mazooma) (Adder 5) (set 3)
ad5bpfpmc,250,Bullseye Pounds For Points (Mazooma) (Adder 5) (set 4)
ad5bpfpmd,250,Bullseye Pounds For Points (Mazooma) (Adder 5) (set 5)
ad5btc,,"Bullseye Triple Club (PR1758, BFGPBULS) (Bellfruit) (Adder 5) (set 1)"
ad5btca,255,"Bullseye Triple Club (PR1758, BFGPBULS) (Bellfruit) (Adder 5) (set 3)"
ad5btcb,255,"Bullseye Triple Club (PR1758, BFGNBULS) (Bellfruit) (Adder 5) (set 4)"
ad5cmons,,Crazy Money (Bellfruit) (Adder 5) (set 1)
ad5cmonsa,258,Crazy Money (Bellfruit) (Adder 5) (set 2)
ad5copsr,,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 1)
ad5copsr0,297,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 7)
ad5copsr1,297,Cops 'n' Robbers (PR2497) (Mazooma) (Adder 5) (set 2)
ad5copsr2,297,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 8)
ad5copsr3,297,Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 1)
ad5copsr4,297,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 5)
ad5copsr5,297,Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 2)
ad5copsr6,297,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 6)
ad5copsr7,297,Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 4)
ad5copsra,260,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 2)
ad5copsrb,260,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 3)
ad5copsrc,260,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 1)
ad5copsrd,260,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 4)
ad5copsre,260,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 5)
ad5copsrf,260,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 6)
ad5copsrg,260,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 2)
ad5copsrh,297,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 1)
ad5copsri,297,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 2)
ad5copsrj,297,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 5)
ad5copsrk,260,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 7)
ad5copsrl,260,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 8)
ad5copsrm,260,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 9)
ad5copsrn,260,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 3)
ad5copsro,260,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 10)
ad5copsrp,260,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 11)
ad5copsrq,260,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 12)
ad5copsrr,260,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 4)
ad5copsrs,297,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 3)
ad5copsrt,297,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 4)
ad5copsru,297,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 6)
ad5copsrv,260,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 13)
ad5copsrw,260,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 14)
ad5copsrx,260,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 5)
ad5copsry,260,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 6)
ad5copsrz,297,Cops 'n' Robbers (PR2497) (Mazooma) (Adder 5) (set 1)
ad5crcpt,,Cops 'n' Robbers Community Party (Bellfruit) (Adder 5) (set 1)
ad5crcpta,295,Cops 'n' Robbers Community Party (Bellfruit) (Adder 5) (set 2)
ad5crsc,,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 1)
ad5crsca,297,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 2)
ad5crscb,297,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 3)
ad5crscc,297,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 4)
ad5crscd,297,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 7)
ad5crsce,297,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 8)
ad5crscf,297,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 9)
ad5crscg,297,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 10)
ad5crsch,297,Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 3)
ad5dnd,,Deal Or No Deal (Bellfruit) (Adder 5) (set 1)
ad5dnda,306,Deal Or No Deal (Bellfruit) (Adder 5) (set 2)
ad5dndb,306,Deal Or No Deal (Bellfruit) (Adder 5) (set 3)
ad5dndc,306,Deal Or No Deal (Bellfruit) (Adder 5) (set 4)
ad5dndcl,,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 1)
ad5dndcla,310,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 2)
ad5dndclb,310,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 3)
ad5dndclc,310,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 4)
ad5dndcld,310,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 5)
ad5dndcle,310,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 6)
ad5dndclf,310,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 20)
ad5dndclg,310,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 21)
ad5dndd,306,Deal Or No Deal (Bellfruit) (Adder 5) (set 5)
ad5dnddd,,Deal Or No Deal Double Deal Or No Deal (Bellfruit) (Adder 5) (set 1)
ad5dnddda,319,Deal Or No Deal Double Deal Or No Deal (Bellfruit) (Adder 5) (set 2)
ad5dnde,306,Deal Or No Deal (Bellfruit) (Adder 5) (set 6)
ad5dndf,306,Deal Or No Deal (Bellfruit) (Adder 5) (set 7)
ad5dndg,306,Deal Or No Deal (Bellfruit) (Adder 5) (set 8)
ad5dndh,306,Deal Or No Deal (Bellfruit) (Adder 5) (set 9)
ad5dndi,306,Deal Or No Deal (Bellfruit) (Adder 5) (set 10)
ad5dndj,306,Deal Or No Deal (Bellfruit) (Adder 5) (set 11)
ad5dndk,306,Deal Or No Deal (Bellfruit) (Adder 5) (set 12)
ad5dndl,306,Deal Or No Deal (Bellfruit) (Adder 5) (set 13)
ad5dndm,306,Deal Or No Deal (Bellfruit) (Adder 5) (set 14)
ad5dndn,306,Deal Or No Deal (Bellfruit) (Adder 5) (set 15)
ad5dndo,306,Deal Or No Deal (Bellfruit) (Adder 5) (set 16)
ad5dndp,306,Deal Or No Deal (Bellfruit) (Adder 5) (set 17)
ad5dndpg,,Deal Or No Deal The Perfect Game (Bellfruit) (Adder 5) (set 1)
ad5dndpga,333,Deal Or No Deal The Perfect Game (Bellfruit) (Adder 5) (set 2)
ad5dndpgb,333,Deal Or No Deal The Perfect Game (Bellfruit) (Adder 5) (set 3)
ad5dndpgc,333,Deal Or No Deal The Perfect Game (Bellfruit) (Adder 5) (set 4)
ad5dndpl,,Deal Or No Deal Platinum (Bellfruit) (Adder 5) (set 1)
ad5dndpla,337,Deal Or No Deal Platinum (Bellfruit) (Adder 5) (set 2)
ad5dndplb,337,Deal Or No Deal Platinum (Bellfruit) (Adder 5) (set 3)
ad5dndplc,337,Deal Or No Deal Platinum (Bellfruit) (Adder 5) (set 4)
ad5dndq,306,Deal Or No Deal (Bellfruit) (Adder 5) (set 18)
ad5dndr,306,Deal Or No Deal (Bellfruit) (Adder 5) (set 19)
ad5dndu,306,Deal Or No Deal (Bellfruit) (Adder 5) (set 22)
ad5dndv,306,Deal Or No Deal (Bellfruit) (Adder 5) (set 23)
ad5eyes,,"Eyes Down (PR2242, MAZNEYDW) (Mazooma) (Adder 5) (set 1)"
ad5eyesa,345,"Eyes Down (PR2242, MAZNEYDW) (Mazooma) (Adder 5) (set 2)"
ad5eyesb,345,"Eyes Down (PR2246, MAZNEYDW) (Mazooma) (Adder 5) (set 1)"
ad5eyesc,345,"Eyes Down (PR2246, MAZPEYDW) (Mazooma) (Adder 5) (set 1)"
ad5eyesd,345,"Eyes Down (PR2242, MAZPEYDW) (Mazooma) (Adder 5) (set 1)"
ad5eyese,345,"Eyes Down (PR2242, MAZPEYDW) (Mazooma) (Adder 5) (set 2)"
ad5eyesf,345,"Eyes Down (PR2246, MAZPEYDW) (Mazooma) (Adder 5) (set 2)"
ad5eyesg,345,"Eyes Down (PR2246, MAZNEYDW) (Mazooma) (Adder 5) (set 2)"
ad5gldmn,,Gold Mine (Bellfruit) (Adder 5) (set 1)
ad5gldmna,353,Gold Mine (Bellfruit) (Adder 5) (set 2)
ad5gldmnb,353,Gold Mine (Bellfruit) (Adder 5) (set 3)
ad5gldmnc,353,Gold Mine (Bellfruit) (Adder 5) (set 4)
ad5gldmnd,353,Gold Mine (Bellfruit) (Adder 5) (set 5)
ad5gldmne,353,Gold Mine (Bellfruit) (Adder 5) (set 6)
ad5gldmnf,353,Gold Mine (Bellfruit) (Adder 5) (set 7)
ad5gldmng,353,Gold Mine (Bellfruit) (Adder 5) (set 8)
ad5gldmnh,353,Gold Mine (Bellfruit) (Adder 5) (set 9)
ad5gldmni,353,Gold Mine (Bellfruit) (Adder 5) (set 10)
ad5gldmnj,353,Gold Mine (Bellfruit) (Adder 5) (set 11)
ad5gldmnk,353,Gold Mine (Bellfruit) (Adder 5) (set 12)
ad5gldwn,,Golden Winner (Mazooma) (Adder 5) (set 1)
ad5gldwna,365,Golden Winner (Mazooma) (Adder 5) (set 2)
ad5hir,,Hi Roller (Bellfruit) (Adder 5) (set 1)
ad5hira,367,Hi Roller (Bellfruit) (Adder 5) (set 2)
ad5hirb,367,Hi Roller (Bellfruit) (Adder 5) (set 3)
ad5hirc,367,Hi Roller (Bellfruit) (Adder 5) (set 4)
ad5hircl,367,Hi Roller Club (Bellfruit) (Adder 5) (set 1)
ad5hircla,367,Hi Roller Club (Bellfruit) (Adder 5) (set 2)
ad5hirclb,367,Hi Roller Club (Bellfruit) (Adder 5) (set 3)
ad5jckmo,,"Jackpot Monopoly (PR2226, MAZNJACM) (Mazooma) (Adder 5) (set 1)"
ad5jckmoa,374,"Jackpot Monopoly (PR2226, MAZNJACM) (Mazooma) (Adder 5) (set 2)"
ad5jckmob,374,"Jackpot Monopoly (PR2253, MAZNJACM) (Mazooma) (Adder 5)"
ad5jckmoc,374,"Jackpot Monopoly (PR2226, MAZNJACM) (Mazooma) (Adder 5) (set 3)"
ad5jckmod,374,"Jackpot Monopoly (PR2226, MAZPJACM) (Mazooma) (Adder 5) (set 1)"
ad5jckmoe,374,"Jackpot Monopoly (PR2226, MAZPJACM) (Mazooma) (Adder 5) (set 2)"
ad5mcob,,Monte Carlo Or Bust (Qps) (Adder 5) (set 1)
ad5mcoba,380,Monte Carlo Or Bust (Qps) (Adder 5) (set 2)
ad5mcobb,380,Monte Carlo Or Bust (Qps) (Adder 5) (set 3)
ad5mcobc,380,Monte Carlo Or Bust (Qps) (Adder 5) (set 4)
ad5monop,,"Random Monopoly (PR2217, MAZNRNDN) (Mazooma) (Adder 5) (set 1)"
ad5monopa,384,"Random Monopoly (PR2217, MAZNRNDN) (Mazooma) (Adder 5) (set 2)"
ad5monopb,384,"Random Monopoly (PR2217, MAZNRNDN) (Mazooma) (Adder 5) (set 3)"
ad5monopc,384,"Random Monopoly (PR2217, MAZNRNDN) (Mazooma) (Adder 5) (set 4)"
ad5monopd,384,"Random Monopoly (PR2221, MAZNRNDN) (Mazooma) (Adder 5) (set 1)"
ad5monope,384,"Random Monopoly (PR2221, MAZNRNDN) (Mazooma) (Adder 5) (set 2)"
ad5monopf,384,"Random Monopoly (PR2217, MAZPRNDN) (Mazooma) (Adder 5) (set 1)"
ad5monopg,384,"Random Monopoly (PR2217, MAZPRNDN) (Mazooma) (Adder 5) (set 2)"
ad5monoph,384,"Random Monopoly (PR2217, MAZPRNDN) (Mazooma) (Adder 5) (set 3)"
ad5monopi,384,"Random Monopoly (PR2217, MAZPRNDN) (Mazooma) (Adder 5) (set 4)"
ad5monopj,384,"Random Monopoly (PR2221, MAZPRNDN) (Mazooma) (Adder 5) (set 1)"
ad5monopk,384,"Random Monopoly (PR2221, MAZPRNDN) (Mazooma) (Adder 5) (set 2)"
ad5mowow,,"Monopoly Wheel Of Wealth (PR2365, MAZNBPFP) (Mazooma) (Adder 5) (set 1)"
ad5mowowa,396,"Monopoly Wheel Of Wealth (PR2365, MAZNWOWT) (Mazooma) (Adder 5) (set 1)"
ad5mowowb,396,"Monopoly Wheel Of Wealth (PR2365, MAZNWOWT) (Mazooma) (Adder 5) (set 2)"
ad5mowowc,396,"Monopoly Wheel Of Wealth (PR2389, MAZNWWBU) (Mazooma) (Adder 5)"
ad5mowowd,396,"Monopoly Wheel Of Wealth (PR2365, MAZNMWOW) (Mazooma) (Adder 5)"
ad5mowowe,396,"Monopoly Wheel Of Wealth (PR2365, MAZPBPFP) (Mazooma) (Adder 5) (set 1)"
ad5mowowf,396,"Monopoly Wheel Of Wealth (PR2365, MAZPWOWT) (Mazooma) (Adder 5) (set 1)"
ad5mowowg,396,"Monopoly Wheel Of Wealth (PR2365, MAZPWOWT) (Mazooma) (Adder 5) (set 2)"
ad5mowowh,396,"Monopoly Wheel Of Wealth (PR2389, MAZPWWBU) (Mazooma) (Adder 5)"
ad5mowowi,396,"Monopoly Wheel Of Wealth (PR2365, MAZPMWOW) (Mazooma) (Adder 5)"
ad5mowowj,396,Monopoly Wheel Of Wealth (PR3075) (Adder 5) (set 1)
ad5mowowk,396,Monopoly Wheel Of Wealth (PR3075) (Adder 5) (set 2)
ad5mowowl,396,"Monopoly Wheel Of Wealth (PR2365, MAZNBPFP) (Mazooma) (Adder 5) (set 2)"
ad5mowowm,396,"Monopoly Wheel Of Wealth (PR2365, MAZPBPFP) (Mazooma) (Adder 5) (set 2)"
ad5mr2r,,Monopoly Road To Riches (Mazooma) (Adder 5) (set 1)
ad5mr2ra,410,Monopoly Road To Riches (Mazooma) (Adder 5) (set 2)
