name,cloneOf,description
newsin7,,New Sinbad 7
mrkougar,,Mr. Kougar
mrkougr2,170,Mr. Kougar (earlier)
mrkougb,170,Mr. Kougar (bootleg)
hotshock,,Hot Shocker
hunchbks,940,Hunchback (Scramble hardware)
cavelon,,Cavelon
sfx,,SF-X
mimonscr,178,Mighty Monkey (bootleg on Scramble hardware)
mimonkey,,Mighty Monkey
mimonsco,178,Mighty Monkey (bootleg on Super Cobra hardware)
scobra,,Super Cobra
scobras,180,Super Cobra (Stern)
scobrase,180,Super Cobra (Sega)
scobrab,180,Super Cobra (bootleg)
stratgyx,,Strategy X
stratgys,184,Strategy X (Stern)
armorcar,,Armored Car (set 1)
armorca2,186,Armored Car (set 2)
moonwar,,Moonwar
moonwara,188,Moonwar (older)
spdcoin,,Speed Coin (prototype)
darkplnt,,Dark Planet
tazmania,,Tazz-Mania (set 1)
tazmani2,192,Tazz-Mania (set 2)
calipso,,Calipso
anteater,,Anteater
rescue,,Rescue
aponow,196,Apocaljpse Now
minefld,,Minefield
losttomb,,Lost Tomb (easy)
losttmbh,199,Lost Tomb (hard)
superbon,,Agent Super Bond (Super Cobra conversion)
hustler,,Video Hustler
billiard,202,The Billiards
hustlerb,202,Video Hustler (bootleg)
frogger,,Frogger
frogseg1,205,Frogger (Sega set 1)
frogseg2,205,Frogger (Sega set 2)
froggrmc,205,Frogger (Moon Cresta hardware)
amidar,,Amidar
amidaru,209,Amidar (Stern)
amidaro,209,Amidar (Olympia)
amigo,209,Amigo
turtles,,Turtles
turpin,213,Turpin
600,213,600
flyboy,,Fly-Boy
flyboyb,216,Fly-Boy (bootleg)
fastfred,216,Fast Freddie
jumpcoas,,Jump Coaster
boggy84,,Boggy '84
redrobin,,Red Robin
imago,,Imago (cocktail set)
imagoa,222,Imago (no cocktail set)
cclimber,,Crazy Climber (US)
cclimbrj,224,Crazy Climber (Japan)
ccboot,224,Crazy Climber (bootleg set 1)
ccboot2,224,Crazy Climber (bootleg set 2)
ckong,,Crazy Kong (set 1)
ckonga,228,Crazy Kong (set 2)
ckongjeu,228,Crazy Kong (Jeutel bootleg)
ckongo,228,Crazy Kong (Orca bootleg)
ckongalc,228,Crazy Kong (Alca bootleg)
monkeyd,228,Monkey Donkey
rpatrolb,,River Patrol (bootleg)
silvland,234,Silver Land
yamato,,Yamato (US)
yamato2,236,Yamato (World?)
toprollr,,Top Roller
swimmer,,Swimmer (set 1)
swimmera,239,Swimmer (set 2)
swimmerb,239,Swimmer (set 3)
guzzler,,Guzzler
cannonb,,Cannon Ball (Crazy Climber hardware)
gomoku,,Gomoku Narabe Renju
wiping,,Wiping
rugrats,245,Rug Rats
friskyt,,Frisky Tom (set 1)
friskyta,247,Frisky Tom (set 2)
radrad,,Radical Radial
seicross,,Seicross
sectrzon,250,Sector Zone
firebatl,,Fire Battle
clshroad,,Clash-Road
tubep,,Tube Panic
rjammer,,Roller Jammer
magmax,,Mag Max
cop01,,Cop 01 (set 1)
cop01a,257,Cop 01 (set 2)
mightguy,,Mighty Guy
terracre,,Terra Cresta (YM3526 set 1)
terracrb,260,Terra Cresta (YM3526 set 2)
terracra,260,Terra Cresta (YM2203)
amazon,,Soldier Girl Amazon
amatelas,263,Sei Senshi Amatelass
horekid,,Kid no Hore Hore Daisakusen
horekidb,265,Kid no Hore Hore Daisakusen (bootleg)
galivan,,Galivan - Cosmo Police (12-16-1985)
galivan2,267,Galivan - Cosmo Police (12-11-1985)
dangar,,Dangar - Ufo Robo (12-1-1986)
dangar2,269,Dangar - Ufo Robo (9-26-1986)
dangarb,269,Dangar - Ufo Robo (bootleg)
ninjemak,,Ninja Emaki (US)
youma,272,Youma Ninpou Chou (Japan)
legion,,Legion - Spinner-87 (World ver 2.03)
legiono,274,Chouji Meikyuu Legion (Japan bootleg ver 1.05)
terraf,,Terra Force
terrafu,276,Terra Force (US)
kodure,,Kodure Ookami (Japan)
armedf,,Armed Formation
cclimbr2,,Crazy Climber 2 (Japan)
hyhoo,,Taisen Quiz HYHOO (Japan)
hyhoo2,,Taisen Quiz HYHOO 2 (Japan)
pastelgl,,Pastel Gal (Japan 851224)
crystalg,,Crystal Gal (Japan 860512)
crystal2,,Crystal Gal 2 (Japan 860620)
citylove,,City Love (Japan 860908)
apparel,,Apparel Night (Japan 860929)
secolove,,Second Love (Japan 861201)
housemnq,,House Mannequin (Japan 870217)
housemn2,,House Mannequin Roppongi Live hen (Japan 870418)
seiha,,Seiha (Japan 870725)
seiham,291,Seiha [BET] (Japan 870723)
bijokkoy,,Bijokko Yume Monogatari (Japan 870925)
iemoto,,Iemoto (Japan 871020)
ojousan,,Ojousan (Japan 871204)
bijokkog,,Bijokko Gakuen (Japan 880116)
orangec,,Orange Club - Maruhi Kagai Jugyou (Japan 880213)
vipclub,297,Vip Club [BET] (Japan 880310)
korinai,,Mahjong-zukino Korinai Menmen (Japan 880425)
kaguya,,Mahjong Kaguyahime [BET] (Japan 880521)
otonano,,Otona no Mahjong (Japan 880628)
kanatuen,,Kanatsuen no Onna [BET] (Japan 880905)
mjsikaku,,Mahjong Shikaku (Japan 880908)
mjsikakb,303,Mahjong Shikaku (Japan 880722)
mjcamera,,Mahjong Camera Kozou (Japan 881109)
mmcamera,305,Mahjong Camera Kozou [BET] (Japan 890509)
idhimitu,,Idol no Himitsu [BET] (Japan 890304)
msjiken,,Mahjong Satsujin Jiken (Japan 881017)
hanamomo,,Mahjong Hana no Momoko gumi (Japan 881201)
telmahjn,,Telephone Mahjong (Japan 890111)
gionbana,,Gionbana (Japan 890120)
mjfocus,,Mahjong Focus (Japan 890313)
mjfocusm,312,Mahjong Focus [BET] (Japan 890510)
peepshow,312,Nozokimeguri Mahjong Peep Show (Japan 890404)
scandal,,Scandal Mahjong (Japan 890213)
scandalm,315,Scandal Mahjong [BET] (Japan 890217)
mgmen89,,Mahjong G-MEN'89 (Japan 890425)
mjnanpas,,Mahjong Nanpa Story (Japan 890713)
mjnanpaa,318,Mahjong Nanpa Story (Japan 890712)
mjnanpau,318,Mahjong Nanpa Story (Ura) (Japan 890805)
pairsten,,Pairs (System Ten) (Japan 890826)
bananadr,,Mahjong Banana Dream [BET] (Japan 891124)
mladyhtr,,Mahjong THE LADY HUNTER (Japan 900509)
chinmoku,,Mahjong Chinmoku no Hentai (Japan 900511)
maiko,,Maikobana (Japan 900802)
club90s,,Mahjong CLUB 90's (set 1) (Japan 900919)
club90sa,326,Mahjong CLUB 90's (set 2) (Japan 900919)
hanaoji,,Hana to Ojisan [BET] (Japan 911209)
pstadium,,Mahjong Panic Stadium (Japan)
triplew1,,Mahjong Triple Wars (Japan)
triplew2,,Mahjong Triple Wars 2 (Japan)
ntopstar,,Mahjong Nerae! Top Star (Japan)
mjlstory,,Mahjong Jikken Love Story (Japan)
vanilla,,Mahjong Vanilla Syndrome (Japan)
finalbny,334,Mahjong Final Bunny [BET] (Japan)
qmhayaku,,Quiz-Mahjong Hayaku Yatteyo! (Japan)
galkoku,,Mahjong Gal no Kokuhaku (Japan)
hyouban,337,Mahjong Hyouban Musume [BET] (Japan)
galkaika,,Mahjong Gal no Kaika (Japan)
tokyogal,,Tokyo Gal Zukan (Japan)
tokimbsj,340,Tokimeki Bishoujo [BET] (Japan)
mcontest,,Miss Mahjong Contest (Japan)
uchuuai,,Mahjong Uchuu yori Ai wo komete (Japan)
av2mj1bb,,AV2Mahjong No.1 Bay Bridge no Seijo (Japan)
av2mj2rg,,AV2Mahjong No.2 Rouge no Kaori (Japan)
mjuraden,,Mahjong Uranai Densetsu (Japan)
koinomp,,Mahjong Koi no Magic Potion (Japan)
patimono,,Mahjong Pachinko Monogatari (Japan)
mjanbari,,Medal Mahjong Janjan Baribari [BET] (Japan)
ultramhm,,Ultra Maru-hi Mahjong (Japan)
gal10ren,,Mahjong Gal 10-renpatsu (Japan)
renaiclb,,Mahjong Ren-ai Club (Japan)
mjlaman,,Mahjong La Man (Japan)
mkeibaou,,Mahjong Keibaou (Japan)
pachiten,,Medal Mahjong Pachi-Slot Tengoku [BET] (Japan)
sailorws,,Mahjong Sailor Wars (Japan)
sailorwr,356,Mahjong Sailor Wars-R [BET] (Japan)
psailor1,,Bishoujo Janshi Pretty Sailor 18-kin (Japan)
psailor2,,Bishoujo Janshi Pretty Sailor 2 (Japan)
otatidai,,Disco Mahjong Otachidai no Okite (Japan)
ngpgal,,Nekketsu Grand-Prix Gal (Japan)
mjgottsu,,Mahjong Gottsu ee-kanji (Japan)
bakuhatu,362,Mahjong Bakuhatsu Junjouden (Japan)
cmehyou,,Mahjong Circuit no Mehyou (Japan)
mmehyou,,Medal Mahjong Circuit no Mehyou [BET] (Japan)
mjkoiura,,Mahjong Koi Uranai (Japan)
imekura,,Imekura Mahjong (Japan)
mscoutm,,Mahjong Scout Man (Japan)
mjegolf,,Mahjong Erotica Golf (Japan)
niyanpai,,Niyanpai (Japan)
safarir,,Safari Rally (World)
safarirj,371,Safari Rally (Japan)
phoenix,,Phoenix (Amstar)
phoenixa,373,Phoenix (Centuri)
phoenixt,373,Phoenix (Taito)
phoenix3,373,Phoenix (T.P.N.)
phoenixc,373,"Phoenix (IRECSA, G.G.I Corp)"
condor,373,Condor
falcon,373,Falcon
vautour,373,Vautour (Jeutel France)
pleiads,,Pleiads (Tehkan)
pleiadbl,381,Pleiads (bootleg)
pleiadce,381,Pleiads (Centuri)
capitol,381,Capitol
survival,,Survival
naughtyb,,Naughty Boy
naughtya,386,Naughty Boy (bootleg)
naughtyc,386,Naughty Boy (Cinematronics)
popflame,,Pop Flamer (protected)
popflama,389,Pop Flamer (not protected)
popflamb,389,Pop Flamer (hack[Q])
geebee,,Gee Bee
geebeeg,392,Gee Bee (Gremlin)
bombbee,,Bomb Bee
cutieq,,Cutie Q
navalone,,Navarone
kaitei,,Kaitei Takara Sagashi
kaitein,,Kaitei Takara Sagashi (Namco)
sos,,SOS
tankbatt,,Tank Battalion
warpwarp,,Warp and Warp
warpwarr,401,Warp Warp (Rock-ola set 1)
warpwar2,401,Warp Warp (Rock-ola set 2)
rallyx,,Rally X
rallyxm,404,Rally X (Midway)
nrallyx,,New Rally X
jungler,,Jungler
junglers,407,Jungler (Stern)
tactcian,,Tactician (set 1)
tactcan2,409,Tactician (set 2)
locomotn,,Loco-Motion
gutangtn,411,Guttang Gottong
cottong,411,Cotocoto Cottong
commsega,,Commando (Sega)
bosco,,Bosconian (new version)
boscoo,415,Bosconian (old version)
boscoo2,415,Bosconian (older version)
boscomd,415,"Bosconian (Midway, new version)"
boscomdo,415,"Bosconian (Midway, old version)"
galaga,,Galaga (Namco rev. B)
galagamw,420,Galaga (Midway set 1)
galagamk,420,Galaga (Midway set 2)
galagamf,420,Galaga (Midway set 1 with fast shoot hack)
galagao,420,Galaga (Namco)
gallag,420,Gallag
nebulbee,420,Nebulous Bee
gatsbee,420,Gatsbee
digdug,,Dig Dug (rev 2)
digdugb,428,Dig Dug (rev 1)
digdugat,428,"Dig Dug (Atari, rev 2)"
digduga1,428,"Dig Dug (Atari, rev 1)"
dzigzag,428,Zig Zag (Dig Dug hardware)
xevious,,Xevious (Namco)
xeviousa,433,Xevious (Atari set 1)
xeviousb,433,Xevious (Atari set 2)
xeviousc,433,Xevious (Atari set 3)
xevios,433,Xevios
battles,433,Battles
sxevious,433,Super Xevious
superpac,,Super Pac-Man
superpcm,440,Super Pac-Man (Midway)
pacnpal,,Pac &amp; Pal
pacnpal2,442,Pac &amp; Pal (older)
pacnchmp,442,Pac-Man &amp; Chomp Chomp
phozon,,Phozon (Japan)
mappy,,Mappy (US)
mappyj,446,Mappy (Japan)
digdug2,,Dig Dug II (New Ver.)
digdug2o,448,Dig Dug II (Old Ver.)
todruaga,,Tower of Druaga (New Ver.)
todruago,450,Tower of Druaga (Old Ver.)
motos,,Motos
grobda,,Grobda (New Ver.)
grobda2,453,Grobda (Old Ver. set 1)
grobda3,453,Grobda (Old Ver. set 2)
gaplus,,Gaplus (rev. D)
gaplusa,456,Gaplus (alternate hardware)
gapluso,456,Gaplus (rev. B)
galaga3,456,Galaga 3 (rev. C)
galaga3m,456,Galaga 3 (set 3)
galaga3a,456,Galaga 3 (set 2)
liblrabl,,Libble Rabble
toypop,,Toypop
polepos,,Pole Position (World)
poleposj,464,Pole Position (Japan)
poleposa1,464,Pole Position (Atari version 1)
poleposa1n,464,Pole Position (Atari version 1 on Namco PCB)
poleposa2,464,Pole Position (Atari version 2)
topracer,464,"Top Racer (with MB8841 + MB8842, 1984)"
topracera,464,"Top Racer (with MB8841 + MB8842, 1983)"
ppspeed,464,Speed Up (Spanish bootleg of Pole Position)
polepos2,,Pole Position II (Japan)
polepos2a,472,Pole Position II (Atari)
polepos2b,472,Pole Position II (bootleg)
pacland,,Pac-Land (set 1)
pacland2,475,Pac-Land (set 2)
pacland3,475,Pac-Land (set 3)
paclandm,475,Pac-Land (Midway)
drgnbstr,,Dragon Buster
skykid,,Sky Kid (New Ver.)
skykido,480,Sky Kid (Old Ver.)
skykidd,480,Sky Kid (60A1 Ver.)
baraduke,,Baraduke (set 1)
baraduka,483,Baraduke (set 2)
metrocrs,,Metro-Cross (set 1)
metrocra,485,Metro-Cross (set 2)
hopmappy,,Hopping Mappy
skykiddx,,Sky Kid Deluxe (set 1)
skykiddo,488,Sky Kid Deluxe (set 2)
roishtar,,The Return of Ishtar
genpeitd,,Genpei ToumaDen
rthunder,,Rolling Thunder (new version)
rthundro,492,Rolling Thunder (old version)
wndrmomo,,Wonder Momo
tceptor,,Thunder Ceptor
tceptor2,495,Thunder Ceptor II
shadowld,,Shadow Land
youkaidk,497,Yokai Douchuuki (Japan new version)
yokaidko,497,Yokai Douchuuki (Japan old version)
dspirit,,Dragon Spirit (new version)
dspirito,500,Dragon Spirit (old version)
blazer,,Blazer (Japan)
quester,,Quester (Japan)
pacmania,,Pac-Mania
pacmanij,504,Pac-Mania (Japan)
galaga88,,Galaga '88 (set 1)
galag88b,506,Galaga '88 (set 2)
galag88j,506,Galaga '88 (Japan)
ws,,World Stadium (Japan)
berabohm,,Beraboh Man (Japan version C)
beraboho,510,Beraboh Man (Japan version B)
mmaze,,Marchen Maze (Japan)
bakutotu,,Bakutotsu Kijuutei
wldcourt,,World Court (Japan)
splatter,,Splatter House (Japan)
faceoff,,Face Off (Japan)
rompers,,Rompers (Japan)
romperso,517,Rompers (Japan old version)
blastoff,,Blast Off (Japan)
ws89,509,World Stadium '89 (Japan)
dangseed,,Dangerous Seed (Japan)
ws90,509,World Stadium '90 (Japan)
pistoldm,,Pistol Daimyo no Bouken (Japan)
boxyboy,,Boxy Boy (US)
soukobdx,524,Souko Ban Deluxe (Japan)
puzlclub,,Puzzle Club (Japan prototype)
tankfrce,,Tank Force (US)
tankfrcj,527,Tank Force (Japan)
finallap,,Final Lap (Rev E)
finalapd,529,Final Lap (Rev D)
finalapc,529,Final Lap (Rev C)
finlapjc,529,Final Lap (Japan - Rev C)
finlapjb,529,Final Lap (Japan - Rev B)
assault,,Assault
assaultj,534,Assault (Japan)
assaultp,534,Assault Plus (Japan)
metlhawk,,Metal Hawk (Japan)
ordyne,,Ordyne (Japan)
mirninja,,Mirai Ninja (Japan)
phelios,,Phelios (Japan)
dirtfoxj,,Dirt Fox (Japan)
fourtrax,,Four Trax
valkyrie,,Valkyrie No Densetsu (Japan)
finehour,,Finest Hour (Japan)
burnforc,,Burning Force (Japan)
marvland,,Marvel Land (US)
marvlanj,546,Marvel Land (Japan)
kyukaidk,,Kyuukai Douchuuki (Japan new version)
kyukaido,548,Kyuukai Douchuuki (Japan old version)
dsaber,,Dragon Saber
dsaberj,550,Dragon Saber (Japan)
finalap2,,Final Lap 2
finalp2j,552,Final Lap 2 (Japan)
gollygho,,Golly! Ghost!
rthun2,,Rolling Thunder 2
rthun2j,555,Rolling Thunder 2 (Japan)
sgunner,,Steel Gunner
sgunner2,,Steel Gunner 2 (US)
sgunnr2j,558,Steel Gunner 2 (Japan)
cosmogng,,Cosmo Gang the Video (US)
cosmognj,560,Cosmo Gang the Video (Japan)
finalap3,,Final Lap 3 (Japan set 1)
finalp3a,562,Final Lap 3 (World)
luckywld,,Lucky and Wild
suzuka8h,,Suzuka 8 Hours (World[Q])
suzuk8hj,565,Suzuka 8 Hours (Japan)
sws92,,Super World Stadium '92 (Japan)
sws92g,567,Super World Stadium '92 Gekitouban (Japan)
suzuk8h2,,Suzuka 8 Hours 2 (Japan)
sws93,,Super World Stadium '93 (Japan)
bkrtmaq,,Bakuretsu Quiz Ma-Q Dai Bouken (Japan)
cgangpzl,,Cosmo Gang the Puzzle (US)
cgangpzj,572,Cosmo Gang the Puzzle (Japan)
exvania,,Exvania (Japan)
fghtatck,,Fighter and Attacker (US)
fa,575,F-A (Japan)
knckhead,,Knuckle Heads (World)
knckhedj,577,Knuckle Heads (Japan)
swcourt,,Super World Court (Japan)
emeralda,,Emeraldia (Japan Version B)
emerldaa,580,Emeraldia (Japan)
numanath,,Numan Athletics (World)
numanatj,582,Numan Athletics (Japan)
quiztou,,Nettou! Gekitou! Quiztou!! (Japan)
tinklpit,,Tinkle Pit (Japan)
xday2,,X-Day 2 (Japan)
nebulray,,Nebulas Ray (World)
nebulryj,587,Nebulas Ray (Japan)
ptblank,,Point Blank
gunbulet,589,Gun Bullet (Japan)
gslgr94u,,Great Sluggers '94
sws95,,Super World Stadium '95 (Japan)
sws96,,Super World Stadium '96 (Japan)
sws97,,Super World Stadium '97 (Japan)
vshoot,,J-League Soccer V-Shoot
outfxies,,Outfoxies
outfxesj,596,Outfoxies (Japan)
machbrkr,,Mach Breakers (Japan)
ncv1,,Namco Classics Collection Vol.1
ncv1j,599,Namco Classics Collection Vol.1 (Japan set 1)
ncv1j2,599,Namco Classics Collection Vol.1 (Japan set 2)
ncv2,,Namco Classics Collection Vol.2
ncv2j,602,Namco Classics Collection Vol.2 (Japan)
winrun91,,Winning Run 91
solvalou,,Solvalou (Japan)
starblad,,Starblade
aircombj,,Air Combat (Japan)
aircombu,607,Air Combat (US)
cybsled,,Cyber Sled
alpinerd,,Alpine Racer (Rev. AR2 Ver.D)
alpinerc,610,Alpine Racer (Rev. AR2 Ver.C)
raveracw,,"Rave Racer (Rev. RV2, World)"
ridgeraj,,"Ridge Racer (Rev. RR1, Japan)"
ridger2j,,"Ridge Racer 2 (Rev. RRS1, Japan)"
acedrvrw,,"Ace Driver (Rev. AD2, World)"
victlapw,,"Ace Driver - Victory Lap (Rev. ADV2, World)"
cybrcomm,,"Cyber Commando (Rev. CY1, Japan)"
airco22b,,Air Combat 22 (Rev. ACS1 Ver.B)
cybrcycc,,Cyber Cycles (Rev. CB2 Ver.C)
timecrsa,,Time Crisis (Rev. TS2 Ver.A)
propcycl,,Prop Cycle (Rev PR2 Ver.A)
cosmicg,,Cosmic Guerilla
cosmica,,Cosmic Alien
cosmica2,623,Cosmic Alien (older)
panic,,Space Panic (version E)
panic2,625,Space Panic (set 2)
panic3,625,Space Panic (set 3)
panich,625,Space Panic (harder)
panicger,625,Space Panic (German)
zerohour,,Zero Hour
redclash,,Red Clash
redclask,631,Red Clash (Kaneko)
magspot,,Magical Spot
magspot2,,Magical Spot II
devzone,,Devil Zone
devzone2,635,Devil Zone (easier)
nomnlnd,,No Man's Land
nomnlndg,637,No Man's Land (Gottlieb)
cheekyms,,Cheeky Mouse
ladybug,,Lady Bug
ladybugb,640,Lady Bug (bootleg)
snapjack,,Snap Jack
cavenger,,Cosmic Avenger
dorodon,,Dorodon (set 1)
dorodon2,644,Dorodon (set 2)
sraider,,Space Raider
mrsdyna,,Mrs. Dynamite
mrdo,,Mr. Do!
mrdoy,648,Mr. Do! (prototype)
mrdot,648,Mr. Do! (Taito)
mrdofix,648,Mr. Do! (bugfixed)
mrlo,648,Mr. Lo!
mrdu,648,Mr. Du!
yankeedo,648,Yankee DO!
docastle,,Mr. Do's Castle (set 1)
docastl2,655,Mr. Do's Castle (set 2)
docastlo,655,Mr. Do's Castle (older)
douni,655,Mr. Do vs. Unicorns
dorunrun,,Do! Run Run (set 1)
dorunru2,659,Do! Run Run (set 2)
dorunruc,659,Do! Run Run (Do's Castle hardware)
spiero,659,Super Pierrot (Japan)
dowild,,Mr. Do's Wild Ride
jjack,,Jumping Jack
kickridr,,Kick Rider
idsoccer,,Indoor Soccer
spacefev,,Space Fever (New Ver)
spacefevo,667,Space Fever (Old Ver)
highsplt,,Space Fever High Splitter (set 1)
highspla,669,Space Fever High Splitter (set 2)
spacelnc,,Space Launcher
sheriff,,Sheriff
bandido,672,Bandido
helifire,,HeliFire (set 1)
helifira,674,HeliFire (set 2)
radarscp,,"Radar Scope (TRS02, rev. D)"
radarscpc,676,"Radar Scope (TRS02?, rev. C)"
radarscp1,676,Radar Scope (TRS01)
dkong,,Donkey Kong (US set 1)
dkongpe,679,Donkey Kong - Pauline Edition
dkongo,679,Donkey Kong (US set 2)
dkongjp,679,Donkey Kong (Japan set 1)
dkongjo,679,Donkey Kong (Japan set 2)
dkongjo1,679,Donkey Kong (Japan set 3) (bad dump[Q])
dkongx,679,Donkey Kong II - Jumpman Returns (Hack V1.2)
dkremix,679,Donkey Kong Remix
dkchrmx,679,Donkey Kong Christmas Remix
dkongjr,,Donkey Kong Junior (US)
dkongjrj,688,Donkey Kong Jr. (Japan)
dkngjnrj,688,Donkey Kong Junior (Japan[Q])
dkongjrb,688,Donkey Kong Jr. (bootleg)
